"qtl_id"	"gene"	"chr"
"QTL:2927"	"ARHGAP8"	"5"
"QTL:2927"	"CYB5R3"	"5"
"QTL:2927"	"ACO2"	"5"
"QTL:24288"	"ITGB7"	"5"
"QTL:2927"	"ITGB7"	"5"
"QTL:24288"	"HOXC4"	"5"
"QTL:2927"	"HOXC4"	"5"
"QTL:984"	"HOXC4"	"5"
"QTL:24288"	"DNAJC14"	"5"
"QTL:2927"	"DNAJC14"	"5"
"QTL:984"	"DNAJC14"	"5"
"QTL:24288"	"MMP19"	"5"
"QTL:2927"	"MMP19"	"5"
"QTL:984"	"MMP19"	"5"
"QTL:24288"	"BAZ2A"	"5"
"QTL:2927"	"BAZ2A"	"5"
"QTL:984"	"BAZ2A"	"5"
"QTL:24288"	"GPR182"	"5"
"QTL:2927"	"GPR182"	"5"
"QTL:984"	"GPR182"	"5"
"QTL:24288"	"HELB"	"5"
"QTL:2927"	"HELB"	"5"
"QTL:984"	"HELB"	"5"
"QTL:24288"	"CHD4"	"5"
"QTL:24288"	"KCNA1"	"5"
"QTL:24288"	"KCNA6"	"5"
"QTL:24288"	"CECR2"	"5"
"QTL:5257"	"DEK"	"7"
"QTL:5257"	"SLC17A4"	"7"
"QTL:584"	"SLC17A4"	"7"
"QTL:5257"	"SLC17A1"	"7"
"QTL:584"	"SLC17A1"	"7"
"QTL:5257"	"COL11A2"	"7"
"QTL:584"	"COL11A2"	"7"
"QTL:5257"	"CAPN11"	"7"
"QTL:5257"	"RHAG"	"7"
"QTL:5257"	"IREB2"	"7"
"QTL:5257"	"IDH3A"	"7"
"QTL:5257"	"RHCG"	"7"
"QTL:277"	"BAZ1A"	"7"
"QTL:5257"	"BAZ1A"	"7"
"QTL:277"	"CFL2"	"7"
"QTL:5257"	"CFL2"	"7"
"QTL:277"	"IRF9"	"7"
"QTL:5257"	"IRF9"	"7"
"QTL:277"	"PPP1R3E"	"7"
"QTL:5257"	"PPP1R3E"	"7"
"QTL:277"	"CHD8"	"7"
"QTL:5257"	"CHD8"	"7"
"QTL:8666"	"CHD8"	"7"
"QTL:277"	"CHD2"	"7"
"QTL:5257"	"CHD2"	"7"
"QTL:8804"	"CHD2"	"7"
"QTL:8805"	"CHD2"	"7"
"QTL:277"	"RAD51B"	"7"
"QTL:5257"	"RAD51B"	"7"
"QTL:8804"	"RAD51B"	"7"
"QTL:8805"	"RAD51B"	"7"
"QTL:277"	"GALNT16"	"7"
"QTL:4251"	"GALNT16"	"7"
"QTL:5257"	"GALNT16"	"7"
"QTL:8804"	"GALNT16"	"7"
"QTL:8805"	"GALNT16"	"7"
"QTL:37447"	"AREL1"	"7"
"QTL:4251"	"AREL1"	"7"
"QTL:5257"	"AREL1"	"7"
"QTL:8804"	"AREL1"	"7"
"QTL:8805"	"AREL1"	"7"
"QTL:37447"	"ZC2HC1C"	"7"
"QTL:4251"	"ZC2HC1C"	"7"
"QTL:5257"	"ZC2HC1C"	"7"
"QTL:8804"	"ZC2HC1C"	"7"
"QTL:8805"	"ZC2HC1C"	"7"
"QTL:24289"	"NDRG4"	"6"
"QTL:24289"	"USF2"	"6"
"QTL:5226"	"USF2"	"6"
"QTL:24289"	"RASGRP4"	"6"
"QTL:5226"	"RASGRP4"	"6"
"QTL:24289"	"CAPN12"	"6"
"QTL:5226"	"CAPN12"	"6"
"QTL:24289"	"ARHGEF1"	"6"
"QTL:5226"	"ARHGEF1"	"6"
"QTL:24289"	"IRGC"	"6"
"QTL:5226"	"IRGC"	"6"
"QTL:24289"	"ARHGAP35"	"6"
"QTL:5226"	"ARHGAP35"	"6"
"QTL:24289"	"KCNA7"	"6"
"QTL:5226"	"KCNA7"	"6"
"QTL:24289"	"SLC17A7"	"6"
"QTL:5226"	"SLC17A7"	"6"
"QTL:24289"	"IRF3"	"6"
"QTL:5226"	"IRF3"	"6"
"QTL:24289"	"KCNC3"	"6"
"QTL:5226"	"KCNC3"	"6"
"QTL:24289"	"MMP23B"	"6"
"QTL:5226"	"MMP23B"	"6"
"QTL:8665"	"MMP23B"	"6"
"QTL:24289"	"CHD5"	"6"
"QTL:5226"	"CHD5"	"6"
"QTL:8665"	"CHD5"	"6"
"QTL:17563"	"ARHGEF19"	"6"
"QTL:24289"	"ARHGEF19"	"6"
"QTL:5226"	"ARHGEF19"	"6"
"QTL:8665"	"ARHGEF19"	"6"
"QTL:17547"	"IL28RA"	"6"
"QTL:17563"	"IL28RA"	"6"
"QTL:5226"	"IL28RA"	"6"
"QTL:8665"	"IL28RA"	"6"
"QTL:17547"	"NUDC"	"6"
"QTL:17563"	"NUDC"	"6"
"QTL:5226"	"NUDC"	"6"
"QTL:8665"	"NUDC"	"6"
"QTL:17547"	"GPR3"	"6"
"QTL:17563"	"GPR3"	"6"
"QTL:5226"	"GPR3"	"6"
"QTL:8665"	"GPR3"	"6"
"QTL:17547"	"OSBPL1A"	"6"
"QTL:5226"	"OSBPL1A"	"6"
"QTL:66298"	"OSBPL1A"	"6"
"QTL:5226"	"RNF125"	"6"
"QTL:583"	"RNF125"	"6"
"QTL:5226"	"RNF138"	"6"
"QTL:583"	"RNF138"	"6"
"QTL:5226"	"GALNT1"	"6"
"QTL:583"	"GALNT1"	"6"
"QTL:5226"	"LPAR3"	"6"
