"","id","name"
"1","10773733","gene product does not have associated anatomy"
"2","10773734","gene product is not element in pathway"
"3","10773735","gene product malfunction is not associated with"
"4","10773736","gene product does not play role in biological process"
"5","10773737","gene product does not have biochemical function"
"6","10773738","gene product is not biomarker type"
"7","10773739","gene product is not expressed during"
"8","10773740","gene product variant does not result in abnormal"
"9","10773575","inhibits"
"10","10773577","binds with"
"11","10773578","is modified by"
"12","10773579","targets"
"13","10773580","regulates"
"14","10773581","forms protein complex with"
"15","10773582","controls state change of"
"16","10773583","controls transport of"
"17","10773584","controls phosphorylation of"
"18","10773585","controls expression of "
"19","10773586","catalysis precedes"
"20","10773587","consumption controlled by"
"21","10773588","performs"
"22","10773589","carries out"
"23","10773590","exhibits"
"24","10773591","practices"
"25","10773592","is administered to"
"26","10773593","occurs in"
"27","10773594","is process of"
"28","10773595","uses"
"29","10773596","is manifestation of"
"30","10773597","indicates"
"31","10773598","is result of"
"32","10773599","causal relations"
"33","10773600","brings about"
"34","10773601","produces"
"35","10773602","causes"
"36","10773603","gene product relations"
"37","10773604","gene product has function"
"38","10773605","gene product is encoded by"
"39","10773606","gene product is expressed in"
"40","10773607","is uniquely expressed in"
"41","10773608","gene product has abnormality"
"42","10773609","gene product has associated anatomy"
"43","10773610","gene product is element in pathway"
"44","10773611","gene product malfunction is associated with"
"45","10773612","gene product plays role in biological process"
"46","10773613","gene product has biochemical function"
"47","10773614","gene product is biomarker type"
"48","10773615","gene product is expressed during"
"49","10773616","gene product variant increases"
"50","10773617","gene product variant decreases"
"51","10773618","gene product variant inhibits"
"52","10773619","gene product variant results in abnormal"
"53","10773620","gene product variant causes"
"54","10773621","is underregulated in"
"55","10773622","is overregulated in"
"56","10773623","ortholog is associated with"
"57","10773624","time relations"
"58","10773625","has timing relation to"
"59","10773626","co-occurs with"
"60","10773627","precedes"
"61","10773628","predisposes"
"62","10773629","conceptual relations"
"63","10773630","is conceptually related to"
"64","10773631","is evaluation of"
"65","10773632","is method of"
"66","10773633","is conceptual part of"
"67","10773634","is issue in"
"68","10773635","is degree of"
"69","10773636","analyzes"
"70","10773637","assesses the effect of"
"71","10773638","is measurement of"
"72","10773639","measures"
"73","10773640","diagnoses"
"74","10773641","is property of"
"75","10773642","is derivative of"
"76","10773643","is developmental form of"
"77","10773644","is higher than"
"78","10773645","is lower than"
"79","10773646","is compared with"
"80","10773647","is the same as"
"81","10773648","is classified as"
"82","10773649","negated hierarchy"
"83","10773650","is not a"
"84","10773651","negated association "
"85","10773652","is not associated with"
"86","10773653","negated physical relations"
"87","10773654","is not physically related to"
"88","10773655","is not part of"
"89","10773656","does not consist of"
"90","10773657","does not contain"
"91","10773658","isnot  connected to"
"92","10773659","does not interconnect"
"93","10773660","is not a branch of"
"94","10773661","is not tributary of"
"95","10773662","is not ingredient of"
"96","10773663","does not convert to"
"97","10773664","does not coexist with"
"98","10773665","negated spatial relations"
"99","10773666","is not spatially related to"
"100","10773667","is not location of"
"101","10773668","is not located at"
"102","10773669","is not adjacent to"
"103","10773670","does not surround"
"104","10773671","does not traverse"
"105","10773672","negated functional relations"
"106","10773673","is not functionally related to"
"107","10773674","does not affect"
"108","10773675","does not manage"
"109","10773676","does not treat"
"110","10773677","does not disrupt"
"111","10773678","does not complicate"
"112","10773679","does not interact with"
"113","10773680","does not prevent"
"114","10773681","does not augment"
"115","10773682","does not stimulate"
"116","10773683","does not inhibit"
"117","10773684","does not depend on"
"118","10773685","does not bind with"
"119","10773686","is not modified by"
"120","10773687","does not target"
"121","10773688","does not perform"
"122","10773689","does not carry out"
"123","10773690","does not exhibit"
