"Subject","Predicate","Object","Provenance","Score"
"loc4324691 (oryza sativa japonica)","is associated with","grain yield trait","NA","7.0512"
"grain yield trait","is a","grain number","http://tools.gramene.org/ontology/term/to:0002759","7.0512"
"loc4335790 (oryza sativa japonica)","is associated with","grain yield trait","NA","6.9721"
"grain yield trait","is a","grain number","http://tools.gramene.org/ontology/term/to:0002759","6.9721"
"os07g0153600 (oryza sativa japonica)","is associated with","grain number","http://browser.planteome.org/amigo/search/ontology?q=TO:0000357","4.9542"
"grain number","is a","filled grain number","http://www.ncbi.nlm.nih.gov/pubmed/18820699","4.9542"
"os07g0153600 (oryza sativa japonica)","is associated with","grain number","http://tools.gramene.org/ontology/term/to:0000447","4.9542"
"loc4347031 (oryza sativa japonica)","is associated with","grain yield per plant","NA","7.3764"
"grain yield per plant","is a","grain yield trait","http://tools.gramene.org/ontology/term/to:0000449","7.3764"
"loc4336116 (oryza sativa japonica)","is associated with","grain number per plant","http://browser.planteome.org/amigo/search/ontology?q=TO:0000207","3.7855"
"grain number per plant","is a","grain number","http://www.ncbi.nlm.nih.gov/pubmed/15705958","3.7855"
"loc4336116 (oryza sativa japonica)","is associated with","grain number per plant","http://tools.gramene.org/ontology/term/to:0000440","3.7855"
"loc4325145 (oryza sativa japonica)","performs","response to abiotic stimulus","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g55240","10.4333"
"response to abiotic stimulus","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","10.4333"
"loc4325145 (oryza sativa japonica)","performs","response to abiotic stress","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g55240","11.3496"
"response to abiotic stress","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","11.3496"
"loc4325145 (oryza sativa japonica)","performs","cell growth and/or maintenance","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g55240","11.4963"
"cell growth and/or maintenance","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","11.4963"
