"Subject","Predicate","Object","Provenance","Score"
"os07g0153600 (oryza sativa japonica)","is associated with","grain number","232226800","17"
"grain number","is a","grain yield trait","214510142","10"
"loc4335790 (oryza sativa japonica)","gene product is encoded by","beta-fructofuranosidase, insoluble isoenzyme 2 (oryza sativa subsp. japonica)","232227983","10"
"beta-fructofuranosidase, insoluble isoenzyme 2 (oryza sativa subsp. japonica)","is associated with","grain yield trait","184887463","17"
"loc4347031 (oryza sativa japonica)","is associated with","grain yield per plant","182649453","10"
"grain yield per plant","is a","grain yield trait","182653832","10"
"loc4336116 (oryza sativa japonica)","is associated with","grain number per plant","232227184","17"
"grain number per plant","is a","grain number","232226791","17"
"loc4335790 (oryza sativa japonica)","is associated with","grain yield trait","212140844","10"
"grain yield trait","is a","grain number","232227168","10"
"loc4324691 (oryza sativa japonica)","is associated with","grain yield trait","182655606","17"
"grain yield trait","is a","grain number","232227983","10"
"os07g0153600 (oryza sativa japonica)","is associated with","grain number","182653814","10"
"grain number","is a","filled grain number","232227983","17"
"os07g0153600 (oryza sativa japonica)","is associated with","grain number","232226800","17"
"grain number","is a","grain yield trait","214510142","10"
"loc4335790 (oryza sativa japonica)","gene product is encoded by","beta-fructofuranosidase, insoluble isoenzyme 2 (oryza sativa subsp. japonica)","232227181","10"
