"Subject","Predicate","Object","Provenance","Score"
"os02g0630300 (oryza sativa japonica)","is functionally related to","at4g23340 (arabidopsis thaliana)","http://plants.ensembl.org/Arabidopsis_thaliana/Variation/Explore?r=1:7101-8101;v=ENSVATH00533184;vdb=variation;vf=22","8.4741"
"at4g23340 (arabidopsis thaliana)","is functionally related to","fruit length","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g55240","10.4333"
"loc4325145 (oryza sativa japonica)","performs","response to abiotic stimulus","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","10.5061"
"response to abiotic stimulus","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g55240","10.6981"
"loc4325145 (oryza sativa japonica)","performs","response to abiotic stimulus","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os05g26890","11.1788"
"response to abiotic stimulus","performs","loc4338448 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g55240","11.2552"
"loc4325145 (oryza sativa japonica)","performs","catabolism","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os05g26890","11.258"
"catabolism","performs","loc4338448 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os02g41954","11.3308"
"os02g0630300 (oryza sativa japonica)","performs","cell growth and/or maintenance","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os04g33740","11.3344"
"cell growth and/or maintenance","performs","loc4335790 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os04g44150","11.3496"
"loc4336431 (oryza sativa japonica)","performs","cell growth and/or maintenance","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os04g33740","8.4741"
"cell growth and/or maintenance","performs","loc4335790 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os02g41954","10.4333"
"os02g0630300 (oryza sativa japonica)","performs","cell growth and/or maintenance","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","10.5061"
"cell growth and/or maintenance","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os02g41954","10.6981"
"os02g0630300 (oryza sativa japonica)","performs","cell growth and/or maintenance","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os05g26890","11.1788"
"cell growth and/or maintenance","performs","loc4338448 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os04g44150","11.2552"
"loc4336431 (oryza sativa japonica)","performs","cell growth and/or maintenance","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","11.258"
"cell growth and/or maintenance","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g55240","11.3308"
"loc4325145 (oryza sativa japonica)","performs","response to abiotic stress","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","11.3344"
"response to abiotic stress","performs","loc4324691 (oryza sativa japonica)","http://plants.ensembl.org/Arabidopsis_thaliana/Variation/Explore?r=1:7101-8101;v=ENSVATH00533184;vdb=variation;vf=22","11.3496"
