Preferred_label;ID;Semantic_Category;Synonyms
early endosome to golgi transport;2054921;Physiology;post-golgi endosome to golgi transport, go:0034498, pge to golgi transport, c2612608, early endosome to golgi transport
mitochondria-nucleus signaling pathway;346968;Physiology;go:0031930, mitochondria-nucleus signal transduction, mitochondrial signaling pathway, mitochondria-nucleus signaling pathway, mitochondrial signalling pathway, c1658974, retrograde response
mitochondrial pyruvate transport;3248574;Physiology;go:0006850, c1159633, mitochondrial pyruvate transport
positive regulation of proteasomal ubiquitin-dependent protein catabolic process;413524;Physiology;up regulation of proteasomal ubiquitin-dependent protein catabolic process, positive regulation of proteasomal ubiquitin-dependent protein catabolic process, go:0032436, up-regulation of proteasomal ubiquitin-dependent protein catabolic process, upregulation of proteasomal ubiquitin-dependent protein catabolic process, c1819351
activation of proteasomal ubiquitin-dependent protein catabolic process;220400;Physiology;go:0032436, c2245667, activation of proteasomal ubiquitin-dependent protein catabolic process
stimulation of proteasomal ubiquitin-dependent protein catabolic process;1364261;Physiology;go:0032436, c2245668, stimulation of proteasomal ubiquitin-dependent protein catabolic process
salinity response;3248835;Physiology;response to salinity, response to salt stress, salinity response, response to ionic osmotic stress, go:0009651, c1154956, go:1902074
cellular response to methylmercury;606613;Physiology;go:0071406, cellular response to mehg+, cellular response to methylmercury, cellular response to ch3-hg+, c2754608
transmembrane transport;605324;Physiology;react_89376, react_15480, react_33571, react_61245, react_86409, react_101577, react_101975, react_81153, react_115378, react_91803, react_32423, react_86135, react_87124, react_88059, react_94972, react_79086, react_109832, react_100480, go:0055085, react_29635, react_102897, react_80510, react_32713, react_15518, react_32055, react_114890
positive regulation of transcription from rna polymerase ii promoter in response to cold;1080277;Physiology;c3268756, go:0061411
vacuolar acidification;3248806;Physiology;go:0007035, vacuolar acidification, c1156132
cellular response to oleic acid;883558;Physiology;go:0071400, cellular response to oleic acid, c2754602, cellular response to oleate
cellular response to blue light;697991;Physiology;cellular response to blue light, cellular response to blue light stimulus, c2754689, go:0071483
age-dependent response to oxidative stress during chronological cell aging;459735;Physiology;c1326174, age-dependent response to oxidative stress during chronological cell ageing, go:0001324, age-dependent response to oxidative stress during chronological cell aging
replicative cell aging;2929794;Physiology;replicative cell ageing, c1326196, go:0001302, replicative cell aging
age-dependent response to oxidative stress involved in chronological cell aging;1050815;Physiology;go:0001324, age-dependent response to oxidative stress involved in chronological cell aging, c3158481
pyruvate membrane transport in mitochondria;826766;Physiology;pyruvate membrane transport in mitochondrion, go:1902361, c3822130
mitochondrial pyruvate transmembrane transport;5738250;Physiology;pyruvate transmembrane transport in mitochondrion, c3822129, go:1902361, pyruvate transmembrane transport in mitochondria
mitochondrial degradation;314537;Physiology;mitochondrion degradation, mitophagy, degradation, mitochondrial, d063306, go:0000422, c1820119
piecemeal microautophagy of nucleus;2055504;Physiology;pmn, c2612881, piecemeal microautophagy of nucleus, go:0034727
cellular response to dna damage stimulus;56298;Physiology;go:0006974, c1155291, response to dna damage stimulus, kw-0227, dna damage, dna damage response, cellular dna damage response, cellular response to dna damage stimulus, response to genotoxic stress
protein import into mitochondrial intermembrane space;482864;Physiology;protein transport into mitochondrial ims, mitochondrial intermembrane space protein import, protein transport into mitochondrial intermembrane space, protein import into mitochondrial ims, c1156077, go:0045041, protein import into mitochondrial intermembrane space
protein import into mitochondrial intermembrane space, direct;3257979;Physiology;protein import into mitochondrial intermembrane space, direct, c1156079, go:0045041
