Preferred_label;ID;Semantic_Category;Synonyms
cyclosporine;633971;Chemicals & Drugs;cyclosporine, cyclosporin-a (medication), cyclosporine a, cyclosporin product, cyclosporin a, cyclosporine (medication), ciclosporin, cyclosporine [chemical/ingredient], cyclosporin - chemical, cyclosporin, ciclosporin - chemical, d016572, ciclosporinum [inn_la], cyclosporin - chemical (substance)
arginine;270479;Chemicals & Drugs;d-arginine, sid50104526 (chembl1485), l-alpha-amino-delta-guanidinovalerate, l-ornithine, n5-(aminoiminomethyl)-, 53991-51-8, 241-479-8, (s)-2-amino-5-[(aminoiminomethyl)amino]pentanoate, arginine, arginina [inn-spanish], arg, (2s)-2-amino-5-carbamimidamidopentansäure, l-arginine, 28905-12-6, 2-amino-5-guanidino-pentanoic acid (chembl1485), l-arginine, fcc / usp grade, n~5~-(diaminomethylen)-l-ornithin, d02982, tocris-0663, 1119-34-2, l-arg, (l)-arginine, pentanoic acid, 2-amino-5-[(aminoiminomethyl)amino]-, (s)-, l-arginine-l-glutamate 2-amino-pentanedoic acid, arginine hydrochloride [usan:jan], 25212-18-4, qvyz3myzum &&l or s form
bleomycin;505446;Chemicals & Drugs;bleomycin, blm, bleomycin a(2), bleomycin [chemical/ingredient], n1-(3-(dimethylsulfonio)propyl)bleomycinamide, [chebi]3139, bleomycin (substance), bleomycin antibiotic, bleomycins, 11116-31-7, d001761, [chebi]22907, c0005736, bleomycin a2, bleo
bleomycin;505446;Chemicals & Drugs;bleomycin, blm, bleomycin a(2), bleomycin [chemical/ingredient], n1-(3-(dimethylsulfonio)propyl)bleomycinamide, [chebi]3139, bleomycin (substance), bleomycin antibiotic, bleomycins, 11116-31-7, d001761, [chebi]22907, c0005736, bleomycin a2, bleo
proline;5015357;Chemicals & Drugs;"nchembio816-comp9, (s)-pyrrolidine-2-carboxylic acid, (s)-2-carboxypyrrolidine, (-)-2-pyrrolidinecarboxylic acid, 219-740-2, (s)-proline, 4607-28-7, prolinum, trifluoroethanol, proline, (l), l-prolin, proline, dl-, mfcd00005250, 81709_fluka, p0380_sial, d-pyrrolidine-2-carboxylic acid, 205-702-2, 18875-45-1, (r)-pyrrolidine-2-carboxylate, (2s)-pyrrolidinium-2-carboxylate, l-proline, usp grade, 2517-04-6, nsc46703, [conceptwiki]80809, (-)-(s)-proline; (-)-2-pyrrolidinecarboxylic acid; (-)-proline; (2s)-pyrrolidine-2-carboxylic acid; (s)-2-carboxypyrrolidine; (s)-2-pyrrolidinecarboxylic acid; (s)-pyrrolidine-2-carboxylic acid; l-(-)-proline; l-prolin; l-alpha-pyrrolidinecarboxylic acid; l-pyrrolidine-2-carboxylic acid; prolina; prolinum, d00035, l-(-)-proline, p5607_sigma, 3,4-dihydro-l-proline"
dactinomycin;4035695;Chemicals & Drugs;dactinomycin, dact, actinomycin d, a4262_sigma, gnf-pf-2290 (chembl1554), gnf-pf-1977 (chembl1554), (actinomycin d)9n-(6,13-diisopropyl-2,9-dimethyl-1,4,7,11,14-pentaoxoperhydropyrrolo[2,1-i][1,4,7,10,13]oxatetraazacyclohexadecin-10-yl)-1n-(6,13-diisopropyl-2,5,9-trimethyl-1,4,7,11,14-pentaoxoperhydrocyclopenta[i][1,4,7,13]oxatriazacyclohexadecin-10-yl)-2- (chembl1554), sid144205550 (chembl1554), dactinomycine, [chebi_par_id]27666, 50-76-0, actinomycin i1, act, noxazine-1,9-dicarboxamide, dactinomycin product, actinamycin d (chembl1554), gnf-pf-1977, actinomycin a iv, dactinomycin - chemical, actinomycin-[thr-val-pro-sar-meval], cosmegen (chembl1554), [chebi]27666, dactinomycin (substance), c412
proline;5015357;Chemicals & Drugs;"nchembio816-comp9, (s)-pyrrolidine-2-carboxylic acid, (s)-2-carboxypyrrolidine, (-)-2-pyrrolidinecarboxylic acid, 219-740-2, (s)-proline, 4607-28-7, prolinum, trifluoroethanol, proline, (l), l-prolin, proline, dl-, mfcd00005250, 81709_fluka, p0380_sial, d-pyrrolidine-2-carboxylic acid, 205-702-2, 18875-45-1, (r)-pyrrolidine-2-carboxylate, (2s)-pyrrolidinium-2-carboxylate, l-proline, usp grade, 2517-04-6, nsc46703, [conceptwiki]80809, (-)-(s)-proline; (-)-2-pyrrolidinecarboxylic acid; (-)-proline; (2s)-pyrrolidine-2-carboxylic acid; (s)-2-carboxypyrrolidine; (s)-2-pyrrolidinecarboxylic acid; (s)-pyrrolidine-2-carboxylic acid; l-(-)-proline; l-prolin; l-alpha-pyrrolidinecarboxylic acid; l-pyrrolidine-2-carboxylic acid; prolina; prolinum, d00035, l-(-)-proline, p5607_sigma, 3,4-dihydro-l-proline"
glutathione;4050249;Chemicals & Drugs;disulfide, glutathione, c0017817, glutathione disulfide, glutathione, n,n'-(dithiobis((r)-1-((carboxymethyl)carbamoyl)ethylene))di-l-glutamine, gamma l glutamyl l cysteinylglycine, glutathione disulfide [chemical/ingredient], chebi:16856, oxidized glutathione (substance), cdr0000486929, gssg, oxiglutatione, oxidised glutathione, gamma l glu l cys gly, gamma-l-glu-l-cys-gly, glutathione disulfide (gssg), n-(n-gamma-glutamyl-cysteinyl)glycine-(2,2)-disulfide, 70-18-8, bis(gamma-glutamyl-l-cysteinylglycine) disulfide, l-oxidized glutathione, gsh, glutathione.oxidized
glutathione;4050249;Chemicals & Drugs;disulfide, glutathione, c0017817, glutathione disulfide, glutathione, n,n'-(dithiobis((r)-1-((carboxymethyl)carbamoyl)ethylene))di-l-glutamine, gamma l glutamyl l cysteinylglycine, glutathione disulfide [chemical/ingredient], chebi:16856, oxidized glutathione (substance), cdr0000486929, gssg, oxiglutatione, oxidised glutathione, gamma l glu l cys gly, gamma-l-glu-l-cys-gly, glutathione disulfide (gssg), n-(n-gamma-glutamyl-cysteinyl)glycine-(2,2)-disulfide, 70-18-8, bis(gamma-glutamyl-l-cysteinylglycine) disulfide, l-oxidized glutathione, gsh, glutathione.oxidized
canavanine;4860459;Chemicals & Drugs;2-amino-4-(guanidinooxy)butyric acid, ai3-52153, fsbigdsbmbyopn-uhfffaoysa-n, homoserine, o-[(aminoiminomethyl)amino]-, c1625_sigma, hsdb 3471, d002172, o-[(aminoiminomethyl)amino]homoserine, l-canavanine, o-((aminoiminomethyl)amino)homoserine, (l)-canavanine, [chemspider]269, 543-38-4, canavanin, 2-ammonio-4-(carbamimidamidooxy)butanoate, l-2-amino-4-(guanidinooxy)butyric acid
