"Subject","Predicate","Object","Provenance","Score"
"tavaborole","binds with","resistance to chemicals","S000155945|YOL031C|toxaphene (640 uM)","8.8426"
"tavaborole","binds with","resistance to chemicals","STRING-db4932.YOL033W","9.8632"
"tavaborole","gene product variant increases","resistance to chemicals","STRING-db4932.YBR173C","8.8426"
"tavaborole","gene product variant does not result in abnormal","resistance to chemicals","15883373","9.8632"
"neothyonidioside","binds with","resistance to chemicals","27711131","10.1289"
"neothyonidioside","binds with","resistance to chemicals","S000156575|YHR167W|radicicol","10.4035"
"neothyonidioside","binds with","resistance to chemicals","STRING-db4932.YLR224W","10.1289"
"concanamycin a","is functionally related to","resistance to chemicals","S000128505|YPL061W|elisidepsin (250 ug/ml; synthetic cyclic depsipeptide related to natural kahalalides)","10.0929"
"concanamycin a","binds with","resistance to chemicals","NA","9.5397"
"concanamycin a","binds with","resistance to chemicals","S000152473|YKR096W|benzo[a]pyrene","10.0929"
"isobutyl alcohol","affects","resistance to chemicals","STRING-db4932.YBL007C","10.8522"
"elaiophylin","binds with","resistance to chemicals","23403841","9.3511"
"elaiophylin","binds with","resistance to chemicals","S000152383|YOR115C|cycloheximide (100 ng/ml)","9.3511"
"fenpropimorph","affects","resistance to chemicals","S000080816|YDL206W|Calcofluor White","9.8727"
"tubulazole","binds with","resistance to chemicals","15470112","9.7973"
"tubulazole","binds with","resistance to chemicals","26357016","9.7973"
"chromium trioxide","is adjacent to","resistance to chemicals","STRING-db4932.YLR211C","9.8246"
"glycolaldehyde","binds with","resistance to chemicals","20967895","9.9153"
"4-chlorophenol, nickel (+2) salt","is functionally related to","resistance to chemicals","STRING-db4932.YEL068C","9.7285"
"4-chlorophenol, nickel (+2) salt","binds with","resistance to chemicals","21960436","9.4057"
"4-chlorophenol, nickel (+2) salt","binds with","resistance to chemicals","S000181479|YLR089C|myriocin (1 uM)","9.8949"
"4-chlorophenol, nickel (+2) salt","gene product variant increases","resistance to chemicals","S000144744|YCR021C|ethanol (12%)","9.7285"
"4-chlorophenol, nickel (+2) salt","gene product variant decreases","resistance to chemicals","S000128318|YDR028C|2-deoxy-D-glucose (0.15%)","9.4057"
"vma22 (saccharomyces cerevisiae s288c)","is adjacent to","gic1 (saccharomyces cerevisiae s288c)","S000156575|YKL002W|cladoniamide derivative","9.8458"
