"","id","name"
"1","9324383","Name"
"2","9324384","hierarchy"
"3","9324385","is a"
"4","9324386","is parent of"
"5","9324387","association"
"6","9324388","is associated with"
"7","9324389","physical relations"
"8","9324390","is physically related to"
"9","9324391","is part of"
"10","9324392","consists of"
"11","9324393","contains"
"12","9324394","is connected to"
"13","9324395","interconnects"
"14","9324396","is branch of"
"15","9324397","is tributary of"
"16","9324398","is ingredient of"
"17","9324399","converts to"
"18","9324400","coexists with"
"19","9324401","is variant of"
"20","9324402","spatial relations"
"21","9324403","is spatially related to"
"22","9324404","is location of"
"23","9324405","is located at"
"24","9324406","is adjacent to"
"25","9324407","surrounds"
"26","9324408","traverses"
"27","9324409","functional relations"
"28","9324410","is functionally related to"
"29","9324411","affects"
"30","9324412","manages"
"31","9324413","treats"
"32","9324414","disrupts"
"33","9324415","complicates"
"34","9324416","interacts with"
"35","9324417","prevents"
"36","9324418","augments"
"37","9324419","stimulates"
"38","9324420","inhibits"
"39","9324421","depends on"
"40","9324422","binds with"
"41","9324423","is modified by"
"42","9324424","targets"
"43","9324425","regulates"
"44","9324426","forms protein complex with"
"45","9324427","controls state change of"
"46","9324428","controls transport of"
"47","9324429","controls phosphorylation of"
"48","9324430","controls expression of "
"49","9324431","catalysis precedes"
"50","9324432","consumption controlled by"
"51","9324433","performs"
"52","9324434","carries out"
"53","9324435","exhibits"
"54","9324436","practices"
"55","9324437","is administered to"
"56","9324438","occurs in"
"57","9324439","is process of"
"58","9324440","uses"
"59","9324441","is manifestation of"
"60","9324442","indicates"
"61","9324443","is result of"
"62","9324444","causal relations"
"63","9324445","brings about"
"64","9324446","produces"
"65","9324447","causes"
"66","9324448","gene product relations"
"67","9324449","gene product has function"
"68","9324450","gene product is encoded by"
"69","9324451","gene product is expressed in"
"70","9324452","is uniquely expressed in"
"71","9324453","gene product has abnormality"
"72","9324454","gene product has associated anatomy"
"73","9324455","gene product is element in pathway"
"74","9324456","gene product malfunction is associated with"
"75","9324457","gene product plays role in biological process"
"76","9324458","gene product has biochemical function"
"77","9324459","gene product is biomarker type"
"78","9324460","gene product is expressed during"
"79","9324461","gene product variant increases"
"80","9324462","gene product variant decreases"
"81","9324463","gene product variant inhibits"
"82","9324464","gene product variant results in abnormal"
"83","9324465","gene product variant causes"
"84","9324466","is underregulated in"
"85","9324467","is overregulated in"
"86","9324468","ortholog is associated with"
"87","9324469","time relations"
"88","9324470","has timing relation to"
"89","9324471","co-occurs with"
"90","9324472","precedes"
"91","9324473","predisposes"
"92","9324474","conceptual relations"
"93","9324475","is conceptually related to"
"94","9324476","is evaluation of"
"95","9324477","is method of"
"96","9324478","is conceptual part of"
"97","9324479","is issue in"
"98","9324480","is degree of"
"99","9324481","analyzes"
"100","9324482","assesses the effect of"
"101","9324483","is measurement of"
"102","9324484","measures"
"103","9324485","diagnoses"
"104","9324486","is property of"
"105","9324487","is derivative of"
"106","9324488","is developmental form of"
"107","9324489","is higher than"
"108","9324490","is lower than"
"109","9324491","is compared with"
"110","9324492","is the same as"
"111","9324493","is classified as"
"112","9324494","negated hierarchy"
"113","9324495","is not a"
"114","9324496","negated association "
"115","9324497","is not associated with"
"116","9324498","negated physical relations"
"117","9324499","is not physically related to"
"118","9324500","is not part of"
"119","9324501","does not consist of"
"120","9324502","does not contain"
"121","9324503","isnot  connected to"
"122","9324504","does not interconnect"
"123","9324505","is not a branch of"
"124","9324506","is not tributary of"
"125","9324507","is not ingredient of"
"126","9324508","does not convert to"
"127","9324509","does not coexist with"
"128","9324510","negated spatial relations"
"129","9324511","is not spatially related to"
"130","9324512","is not location of"
"131","9324513","is not located at"
"132","9324514","is not adjacent to"
"133","9324515","does not surround"
"134","9324516","does not traverse"
"135","9324517","negated functional relations"
"136","9324518","is not functionally related to"
"137","9324519","does not affect"
"138","9324520","does not manage"
"139","9324521","does not treat"
"140","9324522","does not disrupt"
"141","9324523","does not complicate"
"142","9324524","does not interact with"
"143","9324525","does not prevent"
"144","9324526","does not augment"
"145","9324527","does not stimulate"
"146","9324528","does not inhibit"
"147","9324529","does not depend on"
"148","9324530","does not bind with"
"149","9324531","is not modified by"
"150","9324532","does not target"
"151","9324533","does not perform"
"152","9324534","does not carry out"
"153","9324535","does not exhibit"
"154","9324536","does not practice"
"155","9324537","is not administered to"
"156","9324538","does not occur in"
"157","9324539","is not process of"
"158","9324540","does not use"
"159","9324541","is not manifestation of"
"160","9324542","does not indicate"
"161","9324543","is not result of"
"162","9324544","negated causal relations"
"163","9324545","does not bring about"
"164","9324546","does not produce"
"165","9324547","does not cause"
"166","9324548","negated time relations"
"167","9324549","has no timing relation to"
"168","9324550","does not co-occur with"
"169","9324551","does not precede"
"170","9324552","does not predispose"
"171","9324553","negated conceptual relations"
"172","9324554","is not conceptually related to"
"173","9324555","is not evaluation of"
"174","9324556","is not method of"
"175","9324557","is not conceptual part of"
"176","9324558","is not issue in"
"177","9324559","is not degree of"
"178","9324560","does not analyze"
"179","9324561","does assess the effect of"
"180","9324562","is not measurement of"
"181","9324563","does not measure"
"182","9324564","does not diagnose"
"183","9324565","is not property of"
"184","9324566","is not derivative of"
"185","9324567","is not developmental form of"
"186","9324568","is not higher than"
"187","9324569","is not lower than"
"188","9324570","is not compared with"
"189","9324571","is not the same as"
"190","9324572","is not classified as"
"191","9324573","negated gene product relations"
"192","9324574","gene product does not have function"
"193","9324575","gene product is not encoded by"
"194","9324576","gene product is not expressed in"
"195","9324577","gene product does not have abnormality"
"196","9324578","gene product does not have associated anatomy"
"197","9324579","gene product is not element in pathway"
"198","9324580","gene product malfunction is not associated with"
"199","9324581","gene product does not play role in biological process"
"200","9324582","gene product does not have biochemical function"
"201","9324583","gene product is not biomarker type"
