"","Subject","Predicate","Object","Publications","Score"
"1","2479762","10773565","554235","231358659","9.5428"
"2","554235","10773566","5886311","231348248","9.5428"
"3","2479762","10773565","6248560","231358659","9.5428"
"4","6248560","10773566","5886311","231348248","9.5581"
"5","2479762","10773565","6647967","231358659","9.5581"
"6","6647967","10773566","5886311","231348248","9.5581"
"7","2479762","10773561","2480613","191059080","9.5581"
"8","2480613","10773561","5886311","191059334","9.5881"
"9","2479762","10773617","5701667","231358799","9.6312"
"10","5701667","10773565","5886311","212577041","9.7489"
"11","2479762","10773566","5718246","231358659","9.5428"
"12","5718246","10773565","5886311","231348248","9.5428"
"13","2479762","10773566","854851","231358659","9.5428"
"14","854851","10773565","5886311","231348248","9.5581"
"15","2479762","10773566","2479833","231358659","9.5581"
"16","2479833","10773561","5886311","231348248","9.5581"
"17","2479762","10773561","2480396","191058991","9.5581"
"18","2480396","10773617","5886311","191059080","9.5881"
"19","2479762","10773561","3887898","231357551","9.6312"
"20","3887898","10773561","5886311","217339154","9.7489"
"21","2479762","10773617","554235","191059080","9.5428"
"22","554235","10773577","5886311","191059346","9.5428"
"23","2479762","10773577","6248560","231358726","9.5428"
"24","6248560","10773616","5886311","207990057","9.5581"
"25","2479762","10773740","6647967","231488109","9.5581"
"26","6647967","10773565","5886311","231490548","9.5581"
"27","2479762","10773566","2480613","231482643","9.5581"
"28","2480613","10773565","5886311","210472247","9.5881"
"29","2479762","10773566","5701667","231482644","9.6312"
"30","5701667","10773565","5886311","204575070","9.7489"
