"","Feature_Name","Feature_Type","Gene_name","SGD_ID","Reference","Experiment_type","Mutant_type","Allele","Strain","Phenotype","Chemical","Condition","Details","Reporter"
"59718","YHR044C","ORF","DOG1","S000001086","PMID: 20600383|SGD_REF: S000134722","competitive growth","overexpression"," ","CEN.PK","resistance to chemicals: increased","isobutanol (1 mg/ml)"," "," "," "
"59723","YHR044C","ORF","DOG1","S000001086","PMID: 20600383|SGD_REF: S000134722","classical genetics","overexpression"," ","CEN.PK","resistance to chemicals: increased","isobutanol (1%)"," "," "," "
"71468","YJL153C","ORF","INO1","S000003689","PMID: 20600383|SGD_REF: S000134722","competitive growth","overexpression"," ","CEN.PK","resistance to chemicals: increased","isobutanol (1 mg/ml)"," "," "," "
"71470","YJL153C","ORF","INO1","S000003689","PMID: 20600383|SGD_REF: S000134722","classical genetics","overexpression"," ","CEN.PK","resistance to chemicals: increased","isobutanol (1%)"," "," "," "
"76324","YJR148W","ORF","BAT2","S000003909","PMID: 11341309|SGD_REF: S000060252","classical genetics","null"," ","Other","chemical compound accumulation: decreased","isobutanol"," ","similar decrease in levels seen for amyl alcohol and isoamyl alcohol"," "
"97412","YML042W","ORF","CAT2","S000004506","PMID: 17156120|SGD_REF: S000120036","classical genetics","overexpression","CAT2-mit (mutant Cat2p localized to mitochondria only)","Other","chemical compound accumulation: increased","isobutanol"," "," "," "
"100404","YMR037C","ORF","MSN2","S000004640","PMID: 20600383|SGD_REF: S000134722","competitive growth","overexpression"," ","CEN.PK","resistance to chemicals: increased","isobutanol (1 mg/ml)"," ","N-terminally truncated, missing amino acids 1-48"," "
"100406","YMR037C","ORF","MSN2","S000004640","PMID: 20600383|SGD_REF: S000134722","classical genetics","overexpression"," ","CEN.PK","resistance to chemicals: increased","isobutanol (1%)"," ","N-terminally truncated, missing amino acids 1-48"," "
"135828","YPR005C","ORF","HAL1","S000006209","PMID: 20600383|SGD_REF: S000134722","classical genetics","overexpression"," ","CEN.PK","resistance to chemicals: increased","isobutanol (1%)"," "," "," "
"135829","YPR005C","ORF","HAL1","S000006209","PMID: 20600383|SGD_REF: S000134722","competitive growth","overexpression"," ","CEN.PK","resistance to chemicals: increased","isobutanol (1 mg/ml)"," "," "," "
"48852","YGL180W","ORF","ATG1","S000003148","PMID: 17700056|SGD_REF: S000123812","classical genetics","overexpression"," ","Sigma1278b","filamentous growth: decreased"," ","low-nitrogen medium + 1% butanol"," "," "
"62219","YHR171W","ORF","ATG7","S000001214","PMID: 17700056|SGD_REF: S000123812","classical genetics","overexpression"," ","Sigma1278b","filamentous growth: decreased"," ","low-nitrogen medium + 1% butanol"," "," "
"68511","YJL036W","ORF","SNX4","S000003573","PMID: 17700056|SGD_REF: S000123812","classical genetics","overexpression"," ","Sigma1278b","filamentous growth: decreased"," ","low-nitrogen medium + 1% butanol"," "," "
"95046","YLR423C","ORF","ATG17","S000004415","PMID: 17700056|SGD_REF: S000123812","classical genetics","overexpression"," ","Sigma1278b","filamentous growth: decreased"," ","low-nitrogen medium + 1% butanol"," "," "
"95256","YLR431C","ORF","ATG23","S000004423","PMID: 17700056|SGD_REF: S000123812","classical genetics","overexpression"," ","Sigma1278b","filamentous growth: decreased"," ","low-nitrogen medium + 1% butanol"," "," "
"115334","YNR007C","ORF","ATG3","S000005290","PMID: 17700056|SGD_REF: S000123812","classical genetics","overexpression"," ","Sigma1278b","filamentous growth: decreased"," ","low-nitrogen medium + 1% butanol"," "," "
"118779","YOL082W","ORF","ATG19","S000005442","PMID: 17700056|SGD_REF: S000123812","classical genetics","overexpression"," ","Sigma1278b","filamentous growth: decreased"," ","low-nitrogen medium + 1% butanol"," "," "
"133133","YPL166W","ORF","ATG29","S000006087","PMID: 17700056|SGD_REF: S000123812","classical genetics","overexpression"," ","Sigma1278b","filamentous growth: decreased"," ","low-nitrogen medium + 1% butanol"," "," "
"868","YAL021C","ORF","CCR4","S000000019","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"2478","YBL007C","ORF","SLA1","S000000103","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"2604","YBL008W","ORF","HIR1","S000000104","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"2853","YBL022C","ORF","PIM1","S000000118","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"4095","YBL072C","ORF","RPS8A","S000000168","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"4697","YBL093C","ORF","ROX3","S000000189","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"4755","YBL094C","ORF","","S000000190","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
