"","geneId","EKP_Concept_Id","content.name"
"1","s000003367","5429317","pre9 (saccharomyces cerevisiae s288c)"
"2","s000000377","5429802","ump1 (saccharomyces cerevisiae s288c)"
"3","s000004214","5420070","ucc1 (saccharomyces cerevisiae s288c)"
"4","s000000953","4083706","ubp3 (saccharomyces cerevisiae s288c)"
"5","s000005334","5427852","bre5 (saccharomyces cerevisiae s288c)"
"6","s000000514","5418892","stp22 (saccharomyces cerevisiae s288c)"
"7","s000005923","5426692","snf8 (saccharomyces cerevisiae s288c)"
"8","s000001485","5427524","did4 (saccharomyces cerevisiae s288c)"
"9","s000006005","5427339","bro1 (saccharomyces cerevisiae s288c)"
"10","s000004230","5420405","vps34 (saccharomyces cerevisiae s288c)"
"11","s000000301","5429907","vps15 (saccharomyces cerevisiae s288c)"
"12","s000001076","4083638","pih1 (saccharomyces cerevisiae s288c)"
"13","s000004172","5420559","swi6 (saccharomyces cerevisiae s288c)"
"14","s000002988","5430143","get1 (saccharomyces cerevisiae s288c)"
"15","s000000885","4083492","get2 (saccharomyces cerevisiae s288c)"
"16","s000003252","5430790","vma7 (saccharomyces cerevisiae s288c)"
"17","s000001102","4083846","vma22 (saccharomyces cerevisiae s288c)"
"18","s000005561","5426374","she4 (saccharomyces cerevisiae s288c)"
"19","s000001226","4084320","gnd1 (saccharomyces cerevisiae s288c)"
"20","s000000762","4083578","anp1 (saccharomyces cerevisiae s288c)"
"21","s000004081","5418954","gep5 (saccharomyces cerevisiae s288c)"
"22","s000001210","4083954","thp2 (saccharomyces cerevisiae s288c)"
"23","s000004527","5428043","mft1 (saccharomyces cerevisiae s288c)"
"24","s000000103","5430096","sla1 (saccharomyces cerevisiae s288c)"
"25","s000001338","5428415","sec28 (saccharomyces cerevisiae s288c)"
"26","s000005393","5426648","mse1 (saccharomyces cerevisiae s288c)"
"27","s000004307","5418952","nkp2 (saccharomyces cerevisiae s288c)"
"28","s000005982","5427803","ald6 (saccharomyces cerevisiae s288c)"
"29","s000006305","5427584","snt309 (saccharomyces cerevisiae s288c)"
"30","s000002435","5430210","reg1 (saccharomyces cerevisiae s288c)"
"31","s000006439","5418532","htl1 (saccharomyces cerevisiae s288c)"
"32","s000003804","5430068","pol32 (saccharomyces cerevisiae s288c)"
"33","s000002319","5430120","dhh1 (saccharomyces cerevisiae s288c)"
"34","s000004329","5418570","vrp1 (saccharomyces cerevisiae s288c)"
"35","s000002565","5428812","hom2 (saccharomyces cerevisiae s288c)"
"36","s000002178","5429680","rpn4 (saccharomyces cerevisiae s288c)"
"37","s000005428","5427692","rtg1 (saccharomyces cerevisiae s288c)"
"38","s000003416","5429008","ubr1 (saccharomyces cerevisiae s288c)"
"39","s000005314","5428185","ssk2 (saccharomyces cerevisiae s288c)"
"40","s000005067","5426583","nma111 (saccharomyces cerevisiae s288c)"
"41","s000003573","5429036","snx4 (saccharomyces cerevisiae s288c)"
"42","s000005850","5426763","pro2 (saccharomyces cerevisiae s288c)"
"43","s000003048","5429910","mpc1 (saccharomyces cerevisiae s288c)"
"44","s000006183","5426816","fum1 (saccharomyces cerevisiae s288c)"
"45","s000004640","5426471","msn2 (saccharomyces cerevisiae s288c)"
"46","s000001086","4084281","dog1 (saccharomyces cerevisiae s288c)"
"47","s000003689","5429134","ino1 (saccharomyces cerevisiae s288c)"
"48","s000000604","5418810","adp1 (saccharomyces cerevisiae s288c)"
"49","s000004249","5418711","hsp60 (saccharomyces cerevisiae s288c)"
"50","s000006209","5427703","hal1 (saccharomyces cerevisiae s288c)"
