"Subject","Predicate","Object","Provenance","Score"
"tellurite","is adjacent to","resistance to chemicals","210126028","9.5825"
"tellurite","is adjacent to","resistance to chemicals","210128054","9.5825"
"tellurite","is adjacent to","resistance to chemicals","210156774","11.2283"
"tellurite","is adjacent to","resistance to chemicals","210219432","11.2283"
"tellurite","is adjacent to","resistance to chemicals","210220123","9.5825"
"tellurite","is adjacent to","resistance to chemicals","210222413","9.5825"
"tellurite","is functionally related to","resistance to chemicals","210114279","9.5825"
"tellurite","is functionally related to","resistance to chemicals","210136677","8.6606"
"tellurite","is functionally related to","resistance to chemicals","210142098","8.6606"
"tellurite","is functionally related to","resistance to chemicals","210145716","11.2283"
"tellurite","is functionally related to","resistance to chemicals","210148645","8.6606"
"tellurite","is functionally related to","resistance to chemicals","210158563","9.5825"
"tellurite","is functionally related to","resistance to chemicals","210158679","8.6606"
"tellurite","is functionally related to","resistance to chemicals","210169388","11.2283"
"tellurite","is functionally related to","resistance to chemicals","210195991","8.6606"
"tellurite","is functionally related to","resistance to chemicals","210212425","11.2283"
"tellurite","is functionally related to","resistance to chemicals","210224757","9.5825"
"tellurite","is functionally related to","resistance to chemicals","210229116","11.2283"
"tellurite","affects","resistance to chemicals","210110795","11.2283"
"tellurite","affects","resistance to chemicals","210154963","9.5825"
"tellurite","affects","resistance to chemicals","210182840","8.6606"
"tellurite","affects","resistance to chemicals","210194078","8.6606"
"tellurite","affects","resistance to chemicals","210222738","11.2283"
"tellurite","affects","resistance to chemicals","210237389","8.6606"
"tellurite","affects","resistance to chemicals","210242031","9.5825"
"tellurite","gene product variant increases","resistance to chemicals","210142121","8.6606"
"tellurite","gene product variant increases","resistance to chemicals","210194443","9.5825"
"tellurite","gene product variant decreases","resistance to chemicals","210114729","11.2283"
"alverine citrate","is adjacent to","resistance to chemicals","171009824","11.2739"
"alverine citrate","is adjacent to","resistance to chemicals","210158930","11.2739"
"alverine citrate","is functionally related to","resistance to chemicals","210233958","11.2739"
"alverine citrate","affects","resistance to chemicals","210115529","11.2739"
"alverine citrate","affects","resistance to chemicals","210145707","11.2739"
"alverine citrate","affects","resistance to chemicals","210235063","11.2739"
"alverine citrate","affects","resistance to chemicals","210235788","11.2739"
"alverine citrate","gene product variant increases","resistance to chemicals","210161566","11.2739"
"alverine citrate","gene product variant increases","resistance to chemicals","210241431","11.2739"
"alverine citrate","gene product variant decreases","resistance to chemicals","210180083","11.2739"
"soraphen a","is adjacent to","resistance to chemicals","210154278","9.7513"
"soraphen a","is adjacent to","resistance to chemicals","210155844","9.7943"
"soraphen a","is adjacent to","resistance to chemicals","210163716","9.7943"
"soraphen a","is adjacent to","resistance to chemicals","210230874","9.7943"
"soraphen a","is adjacent to","resistance to chemicals","210237781","9.4874"
"soraphen a","is functionally related to","resistance to chemicals","210129201","9.7513"
"soraphen a","is functionally related to","resistance to chemicals","210146497","9.7943"
"soraphen a","is functionally related to","resistance to chemicals","210149511","9.4874"
"soraphen a","is functionally related to","resistance to chemicals","210166830","9.4874"
"soraphen a","is functionally related to","resistance to chemicals","210170873","9.4874"
"soraphen a","is functionally related to","resistance to chemicals","210205213","9.7513"
"soraphen a","is functionally related to","resistance to chemicals","210216954","9.4874"
"soraphen a","is functionally related to","resistance to chemicals","210240566","9.4874"
"soraphen a","affects","resistance to chemicals","210157966","9.7513"
"soraphen a","affects","resistance to chemicals","210176448","9.7943"
"soraphen a","affects","resistance to chemicals","210197205","9.7513"
"soraphen a","affects","resistance to chemicals","210205376","9.7943"
"soraphen a","affects","resistance to chemicals","210207746","9.4874"
"soraphen a","affects","resistance to chemicals","210225472","9.7513"
"soraphen a","gene product variant increases","resistance to chemicals","210132640","9.4874"
"soraphen a","gene product variant increases","resistance to chemicals","210143564","9.7513"
"soraphen a","gene product variant increases","resistance to chemicals","210175725","9.7943"
"soraphen a","gene product variant increases","resistance to chemicals","210219809","9.4874"
"soraphen a","gene product variant decreases","resistance to chemicals","210220426","9.4874"
"soraphen a","gene product variant decreases","resistance to chemicals","210224151","9.7943"
"soraphen a","gene product variant decreases","resistance to chemicals","210229772","9.7513"
"soraphen a","gene product variant does not result in abnormal","resistance to chemicals","210160738","9.7513"
"soraphen a","gene product variant does not result in abnormal","resistance to chemicals","210216768","9.7943"
"echinacea preparation","is adjacent to","resistance to chemicals","210219638","9.0969"
"echinacea preparation","is functionally related to","resistance to chemicals","210110488","9.0969"
"echinacea preparation","is functionally related to","resistance to chemicals","210139201","9.0969"
"echinacea preparation","is functionally related to","resistance to chemicals","210174782","9.0969"
"echinacea preparation","affects","resistance to chemicals","210107519","9.0969"
"echinacea preparation","affects","resistance to chemicals","210127881","9.0969"
"echinacea preparation","affects","resistance to chemicals","210229481","9.0969"
"echinacea preparation","gene product variant increases","resistance to chemicals","210229122","9.0969"
"echinacea preparation","gene product variant decreases","resistance to chemicals","210177643","9.0969"
"phleomycin d1","is adjacent to","resistance to chemicals","210104836","9.8648"
"phleomycin d1","is adjacent to","resistance to chemicals","210130276","11.5035"
"phleomycin d1","is adjacent to","resistance to chemicals","210131399","11.1652"
"phleomycin d1","is adjacent to","resistance to chemicals","210136927","11.5035"
"phleomycin d1","is adjacent to","resistance to chemicals","210148057","11.5035"
"phleomycin d1","is adjacent to","resistance to chemicals","210150973","11.1652"
"phleomycin d1","is adjacent to","resistance to chemicals","210194516","11.1652"
"phleomycin d1","is adjacent to","resistance to chemicals","210210045","11.5035"
"phleomycin d1","is adjacent to","resistance to chemicals","210212379","12.2631"
"phleomycin d1","is adjacent to","resistance to chemicals","210231669","11.5035"
"phleomycin d1","is functionally related to","resistance to chemicals","210130391","12.2631"
"phleomycin d1","is functionally related to","resistance to chemicals","210130850","11.1652"
"phleomycin d1","is functionally related to","resistance to chemicals","210132623","9.8648"
"phleomycin d1","is functionally related to","resistance to chemicals","210137821","11.1652"
"phleomycin d1","is functionally related to","resistance to chemicals","210178178","12.2631"
"phleomycin d1","is functionally related to","resistance to chemicals","210182208","11.5035"
"phleomycin d1","is functionally related to","resistance to chemicals","210188441","11.1652"
"phleomycin d1","is functionally related to","resistance to chemicals","210214899","11.5035"
"phleomycin d1","is functionally related to","resistance to chemicals","210226644","12.2631"
"phleomycin d1","affects","resistance to chemicals","210114529","12.2631"
"phleomycin d1","affects","resistance to chemicals","210134766","11.1652"
"phleomycin d1","affects","resistance to chemicals","210151330","12.2631"
"phleomycin d1","affects","resistance to chemicals","210179020","9.8648"
"phleomycin d1","affects","resistance to chemicals","210210715","12.2631"
"phleomycin d1","affects","resistance to chemicals","210232202","9.8648"
"phleomycin d1","gene product variant increases","resistance to chemicals","210141412","9.8648"
"phleomycin d1","gene product variant increases","resistance to chemicals","210207587","11.1652"
"phleomycin d1","gene product variant increases","resistance to chemicals","210224200","9.8648"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210101456","11.1652"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210107068","9.8648"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210109136","11.5035"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210144993","9.8648"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210153319","11.5035"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210154515","12.2631"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210187209","11.5035"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210218732","12.2631"
"phleomycin d1","gene product variant decreases","resistance to chemicals","210230807","9.8648"
"pterostilbene","is adjacent to","resistance to chemicals","210105806","10.5792"
"pterostilbene","is adjacent to","resistance to chemicals","210149522","10.5792"
"pterostilbene","is adjacent to","resistance to chemicals","210150935","10.5792"
"pterostilbene","is adjacent to","resistance to chemicals","210226564","10.5792"
"pterostilbene","is adjacent to","resistance to chemicals","210241589","10.5792"
"pterostilbene","affects","resistance to chemicals","210197401","10.5792"
"pterostilbene","gene product variant increases","resistance to chemicals","210106572","10.5792"
"pterostilbene","gene product variant increases","resistance to chemicals","210155010","10.5792"
"pterostilbene","gene product variant decreases","resistance to chemicals","210139361","10.5792"
"1-butanol","is adjacent to","resistance to chemicals","171036510","11.2426"
"1-butanol","is adjacent to","resistance to chemicals","210141342","10.0058"
"1-butanol","is adjacent to","resistance to chemicals","210141439","11.2426"
"1-butanol","is adjacent to","resistance to chemicals","210146660","10.3309"
"1-butanol","is adjacent to","resistance to chemicals","210147056","10.3309"
"1-butanol","is adjacent to","resistance to chemicals","210175903","11.2426"
"1-butanol","is adjacent to","resistance to chemicals","210190507","11.2426"
"1-butanol","is adjacent to","resistance to chemicals","210194286","10.0058"
