Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6251161"")";;;beta-galactosidase;699286;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];4739;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24608564"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of general microbiology;6251161;Euretos;4;Journal of microbiology and biotechnology;24608564
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4602333"")";;;amino acids;2122357;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];24839;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8520210"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Biochimie;4602333;Euretos;4;Biomedical chromatography : BMC;8520210
clostridium septicum;594669;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9832614"")";;;amino acids;2122357;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];24839;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8520210"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of biochemistry;9832614;Euretos;4;Biomedical chromatography : BMC;8520210
bifidobacterium adolescentis;4679305;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17971098"")";;;alpha-galactosidase;511397;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];995;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7964541"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Letters in applied microbiology;17971098;Euretos;4;The Journal of family practice;7964541
bacteroides ovatus;4678856;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2981815"")";;;alpha-galactosidase;511397;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];995;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7964541"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of bacteriology;2981815;Euretos;4;The Journal of family practice;7964541
bacteroides ovatus;4678856;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7487028"")";;;amino acids;2122357;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];24839;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8520210"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Applied and environmental microbiology;7487028;Euretos;4;Biomedical chromatography : BMC;8520210
[ruminococcus] gnavus;4676883;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15274432"")";;;alpha-galactosidase;511397;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];995;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7964541"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Artificial cells, blood substitutes, and immobilization biotechnology;15274432;Euretos;4;The Journal of family practice;7964541
bifidobacterium bifidum;3783210;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8870243"")";;;beta-galactosidase;699286;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];4739;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24608564"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Carbohydrate research;8870243;Euretos;4;Journal of microbiology and biotechnology;24608564
bifidobacterium bifidum;3783210;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19005653"")";;;alpha-galactosidase;511397;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];995;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7964541"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Applied microbiology and biotechnology;19005653;Euretos;4;The Journal of family practice;7964541
bifidobacterium bifidum;3783210;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/13742976"")";;;amino acids;2122357;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];24839;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8520210"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Zeitschrift fur Kinderheilkunde;13742976;Euretos;4;Biomedical chromatography : BMC;8520210
clostridium tetani;330973;['Bacterium', 'Species'];interacts with, interacts with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/5334737"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/5334739"")";;amino acids;2122357;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];24839;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8520210"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Annales Universitatis Mariae Curie-Sklodowska. Sectio D: Medicina, Annales Universitatis Mariae Curie-Sklodowska. Sectio D: Medicina;5334737, 5334739;Euretos;4;Biomedical chromatography : BMC;8520210
