Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL974204"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/10757736"")";;coenzyme q10;923677;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Biologically Active Substance'];8332;treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23761046"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 10757736;Euretos;4;Molecular neurobiology;23761046
proteus mirabilis;943113;['Bacterium', 'Species'];interacts with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/770450"")";;;tryptophan;90531;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];8929;affects, does not affect;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11755162"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15035810"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of bacteriology;770450;Euretos, Euretos;4, 4;European journal of pharmacology, Inflammopharmacology;11755162, 15035810
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26066582"")";;;p-glycoprotein;59511;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];8317;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17047491"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;The Journal of antimicrobial chemotherapy;26066582;Euretos;4;Pharmacogenetics and genomics;17047491
proteus mirabilis;943113;['Bacterium', 'Species'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1936932"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7002546"")";;putative uncharacterized protein encoded by mir7-3hg (homo sapiens);385479;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Biologically Active Substance', 'Immunologic Factor'];45431;does not cause, causes, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18340631"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19167425"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19327645"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;FEMS microbiology letters, European journal of biochemistry;1936932, 7002546;Euretos, Euretos, Euretos;4, 4, 4;Proteomics, Brain research reviews, The journal of pain : official journal of the American Pain Society;18340631, 19167425, 19327645
proteus mirabilis;943113;['Bacterium', 'Species'];produces, is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24771125"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17005777"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12488561"")";virulence factors;301050;['Organic Chemical', 'Biologically Active Substance', 'Hazardous or Poisonous Substance'];4101;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11805708"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Euretos, Pubmed, Pubmed, Pubmed;4, 4, 4;Antonie van Leeuwenhoek, Journal of medical microbiology, Journal of medical microbiology;24771125, 17005777, 12488561;Euretos;4;Spine;11805708
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/13830158"")";;;glucose;2710917;['Chemical Viewed Structurally', 'Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];27888;affects, causes, treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16837561"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24641572"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1408322"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Comptes rendus hebdomadaires des seances de l'Academie des sciences;13830158;Euretos, Euretos, Euretos;4, 4, 4;The Journal of pharmacology and experimental therapeutics, British journal of pharmacology, Pain;16837561, 24641572, 1408322
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4557388"")";;;cysteine;2633823;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];11300;causes, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23273102"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11498052"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of general microbiology;4557388;Euretos, Euretos;4, 4;Pain, Neuron;23273102, 11498052
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/5775124"")";;;arginine;1230953;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];11226;inhibits, affects, does not affect, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22995857"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1981187"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1327824"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of general microbiology;5775124;Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4;Nitric oxide : biology and chemistry, European journal of pharmacology, European journal of pharmacology, Annali dell'Istituto superiore di sanita;22995857, 1981187, 1327824, 8172453
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6030464"")";;;methionine;1186609;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Biologically Active Substance'];11461;augments, treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25451284"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of general microbiology;6030464;Euretos, Euretos;4;Neuroscience;25451284
clostridium septicum;594669;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17128973"")";;;virulence factors;301050;['Organic Chemical', 'Biologically Active Substance', 'Hazardous or Poisonous Substance'];4101;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11805708"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Biochemistry;17128973;Euretos;4;Spine;11805708
