Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6995114"")";;;oligosaccharides;310004;['Chemical Viewed Structurally', 'Carbohydrate', 'Pharmacologic Substance'];5168;is associated with, causes, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17651220"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20003568"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23278402"")";flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;European journal of biochemistry;6995114;Euretos, Euretos, Euretos;4, 4, 4;Letters in applied microbiology, The British journal of nutrition, Journal of food science;17651220, 20003568, 23278402
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/13830158"")";;;glucose;2710917;['Chemical Viewed Structurally', 'Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];27888;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16993218"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Comptes rendus hebdomadaires des seances de l'Academie des sciences;13830158;Euretos;4;The Journal of physiology;16993218
bifidobacterium pseudolongum;4679329;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12100587"")";;;glucose;2710917;['Chemical Viewed Structurally', 'Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];27888;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16993218"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Letters in applied microbiology;12100587;Euretos;4;The Journal of physiology;16993218
bacteroides caccae;4678901;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15214734"")";;;glucose;2710917;['Chemical Viewed Structurally', 'Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];27888;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16993218"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Letters in applied microbiology;15214734;Euretos;4;The Journal of physiology;16993218
megasphaera elsdenii;4676904;['Bacterium'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16345359"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23688291"")";;glucose;2710917;['Chemical Viewed Structurally', 'Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];27888;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16993218"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Applied and environmental microbiology, Biomacromolecules;16345359, 23688291;Euretos;4;The Journal of physiology;16993218
akkermansia muciniphila;4124860;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23221607"")";;;carbohydrates;122754;['Chemical Viewed Structurally', 'Carbohydrate'];8428;causes, does not cause, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15309452"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2066155"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9663365"")";flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Genome biology and evolution;23221607;Euretos, Euretos, Euretos;4, 4, 4;European journal of nutrition, Gastroenterology clinics of North America, Clinical therapeutics;15309452, 2066155, 9663365
bifidobacterium breve;3783285;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17007436"")";;;raffinose;370362;['Chemical Viewed Structurally', 'Carbohydrate'];676;affects, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26178817"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/944555"")";;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Folia microbiologica;17007436;Euretos, Euretos;4, 4;The Analyst, Applied and environmental microbiology;26178817, 944555
bifidobacterium breve;3783285;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17007436"")";;;glucose;2710917;['Chemical Viewed Structurally', 'Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];27888;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16993218"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Folia microbiologica;17007436;Euretos;4;The Journal of physiology;16993218
bifidobacterium animalis;3674721;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17007436"")";;;raffinose;370362;['Chemical Viewed Structurally', 'Carbohydrate'];676;affects, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26178817"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/944555"")";;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Folia microbiologica;17007436;Euretos, Euretos;4, 4;The Analyst, Applied and environmental microbiology;26178817, 944555
bifidobacterium animalis;3674721;['Bacterium'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17007436"")";;;glucose;2710917;['Chemical Viewed Structurally', 'Carbohydrate', 'Pharmacologic Substance', 'Biologically Active Substance'];27888;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16993218"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Euretos, Pubmed;4;Folia microbiologica;17007436;Euretos;4;The Journal of physiology;16993218
