Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2099068"")";;;phospholipase;988480;['Amino Acid, Peptide, or Protein', 'Enzyme'];3944;disrupts, causes, does not disrupt;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16026476"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21565534"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Zhurnal mikrobiologii, epidemiologii, i immunobiologii;2099068;Euretos, Euretos, Euretos;4, 4;The European journal of neuroscience, European journal of pain (London, England);16026476, 21565534
proteus mirabilis;943113;['Bacterium', 'Species'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7590184"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8744895"")";;superoxide dismutase;630426;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];9782;inhibits, affects, treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15327813"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23590939"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23658840"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;FEMS microbiology letters, Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine;7590184, 8744895;Euretos, Euretos, Euretos;4, 4, 4;Pain, Pain, PloS one;15327813, 23590939, 23658840
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7040359"")";;;trypsin;531703;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];7914;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16967049"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of biochemistry;7040359;Euretos;4;British journal of pharmacology;16967049
proteus mirabilis;943113;['Bacterium', 'Species'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8067135"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/5698696"")";;hyaluronidase;467115;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];2864;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26996509"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Zhurnal mikrobiologii, epidemiologii, i immunobiologii, The Journal of infectious diseases;8067135, 5698696;Euretos;4;Neuroscience;26996509
proteus mirabilis;943113;['Bacterium', 'Species'];is location of, is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8059571"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/123295"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12761118"")";peptide hydrolases;292878;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];9708;augments, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17124270"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11910355"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Euretos, Pubmed, Pubmed, Pubmed;4, 4, 4;Zhurnal mikrobiologii, epidemiologii, i immunobiologii, Laryngologie, Rhinologie, Otologie, Infection and immunity;8059571, 123295, 12761118;Euretos, Euretos;4, 4;The Journal of physiology, Gastroenterology;17124270, 11910355
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11368092"")";;;thrombin;1045270;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];7935;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16251448"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Microbios;11368092;Euretos;4;The Journal of neuroscience : the official journal of the Society for Neuroscience;16251448
clostridium septicum;594669;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/5076438"")";;;hyaluronidase;467115;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Enzyme'];2864;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26996509"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Medical laboratory technology;5076438;Euretos;4;Neuroscience;26996509
clostridium septicum;594669;['Bacterium', 'Species'];produces, is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19632260"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12900403"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12356721"")";phospholipase c;236586;['Amino Acid, Peptide, or Protein', 'Enzyme'];5556;disrupts;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16741065"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Euretos, Pubmed, Pubmed, Pubmed;4, 4, 4;Toxicon : official journal of the International Society on Toxinology, The Journal of biological chemistry, The EMBO journal;19632260, 12900403, 12356721;Euretos;4;Experimental biology and medicine (Maywood, N.J.);16741065
megasphaera elsdenii;4676904;['Bacterium'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7306882"")";;;phosphotransferases;627548;['Amino Acid, Peptide, or Protein', 'Enzyme'];16058;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9031819"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Pubmed;4;Canadian journal of microbiology;7306882;Euretos;4;Drug and alcohol dependence;9031819
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2099068"")";;;phospholipase;988480;['Amino Acid, Peptide, or Protein', 'Enzyme'];3944;affects, is associated with, disrupts, predisposes, treats, causes, prevents, is associated with, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22884299"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16322975"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17070436"")";inflammation;2569713;['Pathologic Function'];2,0;Euretos, Pubmed;4;Zhurnal mikrobiologii, epidemiologii, i immunobiologii;2099068;Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4, 4, 4, 4, 4;Clinics and research in hepatology and gastroenterology, Intensive care medicine, Journal of diabetes and its complications, Arthritis and rheumatism, Expert review of cardiovascular therapy, Toxicon : official journal of the International Society on Toxinology, Biochemical and biophysical research communications, European journal of pharmacology, Clinical biochemistry;22884299, 16322975, 17070436, 18759305, 20222820, 19646466, 12054745, 10675727, 2253331
