Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4613972"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6278022"")";;endotoxins;325567;['Carbohydrate', 'Lipid', 'Hazardous or Poisonous Substance'];6917;augments, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16310374"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12015213"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Medycyna doswiadczalna i mikrobiologia, Journal of immunology (Baltimore, Md. : 1950);4613972, 6278022;Euretos, Euretos;4, 4;Pharmacological research, Neuropharmacology;16310374, 12015213
proteus mirabilis;943113;['Bacterium', 'Species'];produces, is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24771125"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17005777"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12488561"")";virulence factors;301050;['Organic Chemical', 'Biologically Active Substance', 'Hazardous or Poisonous Substance'];4101;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11805708"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Euretos, Pubmed, Pubmed, Pubmed;4, 4, 4;Antonie van Leeuwenhoek, Journal of medical microbiology, Journal of medical microbiology;24771125, 17005777, 12488561;Euretos;4;Spine;11805708
clostridium septicum;594669;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17128973"")";;;virulence factors;301050;['Organic Chemical', 'Biologically Active Substance', 'Hazardous or Poisonous Substance'];4101;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11805708"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Biochemistry;17128973;Euretos;4;Spine;11805708
megasphaera elsdenii;4676904;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/453682"")";;;endotoxins;325567;['Carbohydrate', 'Lipid', 'Hazardous or Poisonous Substance'];6917;augments, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16310374"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12015213"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;American journal of veterinary research;453682;Euretos, Euretos;4, 4;Pharmacological research, Neuropharmacology;16310374, 12015213
clostridium tetani;330973;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7893219"")";;;botulinum toxins;931363;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Hazardous or Poisonous Substance'];2357;inhibits, treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18461049"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21810163"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Arquivos de neuro-psiquiatria;7893219;Euretos, Euretos;4, 4;Nature clinical practice. Urology, Pain medicine (Malden, Mass.);18461049, 21810163
clostridium tetani;330973;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/13289310"")";;;neurotoxins;523988;['Chemical Viewed Structurally', 'Hazardous or Poisonous Substance'];2391;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6120226"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Pharmacological reviews;13289310;Euretos;4;The Journal of pharmacology and experimental therapeutics;6120226
clostridium tetani;330973;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12911336"")";;;virulence factors;301050;['Organic Chemical', 'Biologically Active Substance', 'Hazardous or Poisonous Substance'];4101;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11805708"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Biotechnology and applied biochemistry;12911336;Euretos;4;Spine;11805708
proteus mirabilis;943113;['Bacterium', 'Species'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4613972"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6278022"")";;endotoxins;325567;['Carbohydrate', 'Lipid', 'Hazardous or Poisonous Substance'];6917;prevents, predisposes, does not cause, is associated with, augments, disrupts, treats, causes, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20546456"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16916988"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23478685"")";inflammation;2569713;['Pathologic Function'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Medycyna doswiadczalna i mikrobiologia, Journal of immunology (Baltimore, Md. : 1950);4613972, 6278022;Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4, 4, 4, 4, 4;Journal of gastroenterology and hepatology, Clinical chemistry, Nutricion hospitalaria, International journal of toxicology, Pregnancy hypertension, Journal of periodontology, Journal of ocular pharmacology, The American journal of physiology, American journal of ophthalmology;20546456, 16916988, 23478685, 19482826, 26105501, 5265221, 7836867, 9458797, 6054206
proteus mirabilis;943113;['Bacterium', 'Species'];produces, is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24771125"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17005777"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12488561"")";virulence factors;301050;['Organic Chemical', 'Biologically Active Substance', 'Hazardous or Poisonous Substance'];4101;is associated with, disrupts, predisposes, augments, treats, affects, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19858308"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26343448"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26503704"")";inflammation;2569713;['Pathologic Function'];2,0;Euretos, Euretos, Euretos, Pubmed, Pubmed, Pubmed;4, 4, 4;Antonie van Leeuwenhoek, Journal of medical microbiology, Journal of medical microbiology;24771125, 17005777, 12488561;Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4, 4, 4;Infection and immunity, Molecular immunology, Innate immunity, American journal of physiology. Lung cellular and molecular physiology, The American journal of cardiology, Current opinion in nephrology and hypertension, Molekuliarnaia biologiia;19858308, 26343448, 26503704, 16489115, 17307056, 7922264, 12624944
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12101306"")";;;toxin;2274712;['Biologically Active Substance', 'Hazardous or Poisonous Substance'];11266;causes, augments, produces, disrupts, does not affect, is associated with, predisposes, treats, affects, prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20597007"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19875811"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16267260"")";inflammation;2569713;['Pathologic Function'];2,0;Euretos, Pubmed;4;Microbiology (Reading, England);12101306;Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4, 4, 4, 4, 4, 4;Methods in molecular biology (Clifton, N.J.), Journal of the American Society of Nephrology : JASN, Circulation, Neurogastroenterology and motility : the official journal of the European Gastrointestinal Motility Society, Journal of pharmaceutical sciences, Gastroenterology, Burns : journal of the International Society for Burn Injuries, Arkhiv patologii, The Journal of clinical investigation, Nephron;20597007, 19875811, 16267260, 26556786, 21656517, 8395445, 9177876, 1953359, 2838520, 3600923
