Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1936932"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7002546"")";;putative uncharacterized protein encoded by mir7-3hg (homo sapiens);385479;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Biologically Active Substance', 'Immunologic Factor'];45431;does not cause, causes, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18340631"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19167425"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19327645"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;FEMS microbiology letters, European journal of biochemistry;1936932, 7002546;Euretos, Euretos, Euretos;4, 4, 4;Proteomics, Brain research reviews, The journal of pain : official journal of the American Pain Society;18340631, 19167425, 19327645
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/107050"")";;;immune sera;331489;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Immunologic Factor'];11045;affects, inhibits, treats, does not augment, does not affect;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18448607"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/10870734"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8616632"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Folia biologica;107050;Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4;American journal of physiology. Regulatory, integrative and comparative physiology, The Clinical journal of pain, Brain research, Neuroscience letters, Peptides;18448607, 10870734, 8616632, 3264395, 7134029
proteus mirabilis;943113;['Bacterium', 'Species'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12226974"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9558179"")";;antibodies;293816;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];26807;disrupts, affects, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23337714"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1376888"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8693777"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Vestnik oftalmologii, The Journal of rheumatology;12226974, 9558179;Euretos, Euretos, Euretos;4, 4, 4;Neuroreport, Pain, Zhurnal vysshei nervnoi deiatelnosti imeni I P Pavlova;23337714, 1376888, 8693777
clostridium septicum;594669;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/13124941"")";;;immune sera;331489;['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Immunologic Factor'];11045;affects, inhibits, treats, does not augment, does not affect;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18448607"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/10870734"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8616632"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Annales de l'Institut Pasteur;13124941;Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4;American journal of physiology. Regulatory, integrative and comparative physiology, The Clinical journal of pain, Brain research, Neuroscience letters, Peptides;18448607, 10870734, 8616632, 3264395, 7134029
bifidobacterium adolescentis;4679305;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22205338"")";;;interleukin-10;2321524;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];7674;affects, does not affect, disrupts;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25711612"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17184847"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9663559"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;International archives of allergy and immunology;22205338;Euretos, Euretos, Euretos;4, 4, 4;Experimental physiology, Journal of neuroimmunology, Journal of neuroimmunology;25711612, 17184847, 9663559
bifidobacterium pseudocatenulatum;4679094;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15242942"")";;;interleukin-10;2321524;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];7674;affects, does not affect, disrupts;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25711612"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17184847"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9663559"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Clinical and diagnostic laboratory immunology;15242942;Euretos, Euretos, Euretos;4, 4, 4;Experimental physiology, Journal of neuroimmunology, Journal of neuroimmunology;25711612, 17184847, 9663559
bacteroides ovatus;4678856;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19622749"")";;;putative uncharacterized protein encoded by mir7-3hg (homo sapiens);385479;['Chemical Viewed Structurally', 'Amino Acid, Peptide, or Protein', 'Biologically Active Substance', 'Immunologic Factor'];45431;does not cause, causes, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18340631"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19167425"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19327645"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;The Journal of biological chemistry;19622749;Euretos, Euretos, Euretos;4, 4, 4;Proteomics, Brain research reviews, The journal of pain : official journal of the American Pain Society;18340631, 19167425, 19327645
bacteroides ovatus;4678856;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15836489"")";;;interleukin-2;2178200;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];8260;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12755376"")";;;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of applied microbiology;15836489;Euretos;4;Inflammation research : official journal of the European Histamine Research Society ... [et al.];12755376
bacteroides ovatus;4678856;['Bacterium'];interacts with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15948242"")";;;cytokine;174248;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];19025;augments, affects, disrupts, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18420346"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12015213"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12096890"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;World journal of gastroenterology;15948242;Euretos, Euretos, Euretos, Euretos;4, 4, 4;Neuroscience letters, Neuropharmacology, Brain, behavior, and immunity;18420346, 12015213, 12096890
bifidobacterium breve;3783285;['Bacterium'];is part of, produces, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20631991"")";;;interleukin-10;2321524;['Amino Acid, Peptide, or Protein', 'Immunologic Factor'];7674;affects, does not affect, disrupts;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25711612"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17184847"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9663559"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Euretos, Euretos, Pubmed;4;Archives of microbiology;20631991;Euretos, Euretos, Euretos;4, 4, 4;Experimental physiology, Journal of neuroimmunology, Journal of neuroimmunology;25711612, 17184847, 9663559
