Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;predisposes, disrupts, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24059649"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17069659"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24332524"")";inflammation;2569713;['Pathologic Function'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos, Euretos, Euretos;4, 4, 4;International journal of food sciences and nutrition, BMC gastroenterology, Nutrition (Burbank, Los Angeles County, Calif.);24059649, 17069659, 24332524
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;is associated with, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/27074444"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25041426"")";;immunity, innate;508506;['Organism Attribute'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos, Euretos;4, 4;Fish & shellfish immunology, Scandinavian journal of immunology;27074444, 25041426
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17922967"")";;;ulcerative colitis;646263;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos;4;The British journal of nutrition;17922967
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18344902"")";;;bacterial translocation;401524;['Cell Function'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos;4;Pediatric research;18344902
bifidobacterium bifidum;3783210;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/10361675"")";;;ammonium sulfate;109932;['Chemical Viewed Structurally', 'Indicator, Reagent, or Diagnostic Aid', 'Inorganic Chemical'];1366;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8423360"")";;;digestion;778585;['Organism Function'];2,0;Euretos, Pubmed;4;Bioscience, biotechnology, and biochemistry;10361675;Euretos;4;Journal of immunological methods;8423360
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11200070"")";;;antigen-presenting cells;934406;['Cell', 'Cell Component'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos;4;Journal of leukocyte biology;11200070
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;affects, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25041426"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22554575"")";;immune response;557453;['Organ or Tissue Function'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos, Euretos;4, 4;Scandinavian journal of immunology, Fish & shellfish immunology;25041426, 22554575
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;augments, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24206196"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15613255"")";;immunity;3681582;['Physiologic Function'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos, Euretos;4, 4;Journal of applied microbiology, The British journal of nutrition;24206196, 15613255
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/13772872"")";;;malnutrition;81063;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos;4;The American journal of physiology;13772872
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;interacts with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26053617"")";;;antibiotics;1047855;['Chemical Viewed Structurally', 'Antibiotic'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos;4;Nutrients;26053617
bifidobacterium bifidum;3783210;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/10361675"")";;;ammonium sulfate;109932;['Chemical Viewed Structurally', 'Indicator, Reagent, or Diagnostic Aid', 'Inorganic Chemical'];1366;inhibits, coexists with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9438357"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/3710917"")";;antibiotics;1047855;['Chemical Viewed Structurally', 'Antibiotic'];2,0;Euretos, Pubmed;4;Bioscience, biotechnology, and biochemistry;10361675;Euretos, Euretos;4, 4;Folia microbiologica, The Journal of antibiotics;9438357, 3710917
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25208775"")";;;defecation;731129;['Organism Function'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos;4;Nutricion hospitalaria;25208775
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17922967"")";;;crohn disease;2623665;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos;4;The British journal of nutrition;17922967
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21568326"")";;;inulin;2212364;['Chemical Viewed Structurally', 'Organic Chemical', 'Carbohydrate', 'Pharmacologic Substance', 'Indicator, Reagent, or Diagnostic Aid'];2056;disrupts, causes, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17069659"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11374687"")";;colitis;2107244;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;Journal of agricultural and food chemistry;21568326;Euretos, Euretos, Euretos;4, 4;BMC gastroenterology, The American journal of gastroenterology;17069659, 11374687
