Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4613972"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6278022"")";;endotoxins;325567;['Carbohydrate', 'Lipid', 'Hazardous or Poisonous Substance'];6917;is location of, produces, is part of, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15300199"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15770588"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9116111"")";enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Medycyna doswiadczalna i mikrobiologia, Journal of immunology (Baltimore, Md. : 1950);4613972, 6278022;Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4;Surgery, Seminars in pediatric surgery, The European journal of surgery = Acta chirurgica, Immunology;15300199, 15770588, 9116111, 12153521
proteus mirabilis;943113;['Bacterium', 'Species'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/323005"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/342599"")";;lipopolysaccharides;23948;['Chemical Viewed Structurally', 'Lipid'];22458;augments, is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18558203"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9836494"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12153521"")";enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;European journal of biochemistry, Journal of hygiene, epidemiology, microbiology, and immunology;323005, 342599;Euretos, Euretos, Euretos;4, 4, 4;Journal of pediatric surgery, Mediators of inflammation, Immunology;18558203, 9836494, 12153521
proteus mirabilis;943113;['Bacterium', 'Species'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/338302"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4602333"")";;phospholipids;2268168;['Chemical Viewed Structurally', 'Lipid', 'Biologically Active Substance'];10902;disrupts, is part of, is location of, is administered to;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26833026"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19158321"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/14672736"")";enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;European journal of biochemistry, Biochimie;338302, 4602333;Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4;Cell metabolism, American journal of physiology. Endocrinology and metabolism, The Journal of steroid biochemistry and molecular biology, The Journal of surgical research;26833026, 19158321, 14672736, 7643590
prevotella oralis;4678677;['Bacterium'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6929559"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19922"")";;lipopolysaccharides;23948;['Chemical Viewed Structurally', 'Lipid'];22458;augments, is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18558203"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9836494"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12153521"")";enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Scandinavian journal of dental research, Acta pathologica et microbiologica Scandinavica. Section B, Microbiology;6929559, 19922;Euretos, Euretos, Euretos;4, 4, 4;Journal of pediatric surgery, Mediators of inflammation, Immunology;18558203, 9836494, 12153521
bacteroides vulgatus;4678591;['Bacterium'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9691430"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6718941"")";;lipopolysaccharides;23948;['Chemical Viewed Structurally', 'Lipid'];22458;augments, is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18558203"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9836494"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12153521"")";enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Acta microbiologica Polonica, Reviews of infectious diseases;9691430, 6718941;Euretos, Euretos, Euretos;4, 4, 4;Journal of pediatric surgery, Mediators of inflammation, Immunology;18558203, 9836494, 12153521
megasphaera elsdenii;4676904;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11934285"")";;;fatty acids, volatile;835858;['Chemical Viewed Structurally', 'Lipid', 'Biologically Active Substance'];2009;is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12355179"")";;;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Biotechnology progress;11934285;Euretos;4;Pflugers Archiv : European journal of physiology;12355179
megasphaera elsdenii;4676904;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7056696"")";;;lipids;765765;['Chemical Viewed Structurally', 'Lipid'];18718;disrupts, is location of, affects, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12889556"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/3921638"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4015113"")";enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Journal of bacteriology;7056696;Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4;Scandinavian journal of gastroenterology, Journal of lipid research, Archives of biochemistry and biophysics, The Journal of cell biology;12889556, 3921638, 4015113, 264123
megasphaera elsdenii;4676904;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4590915"")";;;phosphatidylserines;723988;['Lipid'];5042;is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7643590"")";;;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Biochimica et biophysica acta;4590915;Euretos;4;The Journal of surgical research;7643590
megasphaera elsdenii;4676904;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/453682"")";;;endotoxins;325567;['Carbohydrate', 'Lipid', 'Hazardous or Poisonous Substance'];6917;is location of, produces, is part of, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15300199"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15770588"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9116111"")";enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;American journal of veterinary research;453682;Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4;Surgery, Seminars in pediatric surgery, The European journal of surgery = Acta chirurgica, Immunology;15300199, 15770588, 9116111, 12153521
megasphaera elsdenii;4676904;['Bacterium'];is location of, is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7056696"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/3372481"")";;phospholipids;2268168;['Chemical Viewed Structurally', 'Lipid', 'Biologically Active Substance'];10902;disrupts, is part of, is location of, is administered to;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26833026"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19158321"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/14672736"")";enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Journal of bacteriology, Journal of bacteriology;7056696, 3372481;Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4;Cell metabolism, American journal of physiology. Endocrinology and metabolism, The Journal of steroid biochemistry and molecular biology, The Journal of surgical research;26833026, 19158321, 14672736, 7643590
