Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/770385"")";;;alpha-melanocyte stimulating hormone;389536;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine', 'Hormone'];2354;causes, disrupts;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8252417"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7291044"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Investigative ophthalmology;770385;Euretos, Euretos;4, 4;Brain research, Peptides;8252417, 7291044
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/14756784"")";;;putrescine;530178;['Chemical Viewed Structurally', 'Organic Chemical', 'Neuroreactive Substance or Biogenic Amine'];3163;causes, affects, is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23327914"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1414296"")";;inflammation;2569713;['Pathologic Function'];2,0;Euretos, Pubmed;4;Molecular microbiology;14756784;Euretos, Euretos, Euretos;4, 4;Zhonghua shao shang za zhi = Zhonghua shaoshang zazhi = Chinese journal of burns, Acta ophthalmologica;23327914, 1414296
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/770385"")";;;alpha-melanocyte stimulating hormone;389536;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine', 'Hormone'];2354;predisposes, is associated with, does not prevent, prevents, does not affect, disrupts, is associated with, affects, treats, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19814819"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24728087"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26582563"")";inflammation;2569713;['Pathologic Function'];2,0;Euretos, Pubmed;4;Investigative ophthalmology;770385;Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4, 4, 4, 4;Arthritis research & therapy, PloS one, Journal of drug targeting, Journal of leukocyte biology, Annals of the New York Academy of Sciences, Neuroimmunomodulation, Cytokine, Neuroimmunomodulation;19814819, 24728087, 26582563, 10670585, 10816651, 8528899, 1325196, 10213917
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26918627"")";;;fusion protein;3784494;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine'];7785;prevents, is associated with, does not cause, disrupts, treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26216261"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26241188"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24455775"")";inflammation;2569713;['Pathologic Function'];2,0;Euretos, Pubmed;4;APMIS : acta pathologica, microbiologica, et immunologica Scandinavica;26918627;Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4;Xenotransplantation, Nature reviews. Rheumatology, International immunopharmacology, The Journal of allergy and clinical immunology, Nature biotechnology;26216261, 26241188, 24455775, 23199607, 9788349
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26918627"")";;;fusion protein;3784494;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine'];7785;disrupts, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16860296"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24150860"")";;immune tolerance;603331;['Pathologic Function'];2,0;Euretos, Pubmed;4;APMIS : acta pathologica, microbiologica, et immunologica Scandinavica;26918627;Euretos, Euretos;4, 4;Cellular immunology, International journal of cancer;16860296, 24150860
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/14756784"")";;;putrescine;530178;['Chemical Viewed Structurally', 'Organic Chemical', 'Neuroreactive Substance or Biogenic Amine'];3163;is manifestation of;"=HYPERLINK(""http://www.hmdb.ca/metabolites/hmdb01414"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21761941"")";;ulcerative colitis;646263;['Finding', 'Disease or Syndrome'];13,0;Euretos, Pubmed;4;Molecular microbiology;14756784;HMDB;6, 4;HMDB v3.6, Journal of proteome research;Not available, 21761941
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/770385"")";;;alpha-melanocyte stimulating hormone;389536;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine', 'Hormone'];2354;treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26567174"")";;;ulcerative colitis;646263;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;Investigative ophthalmology;770385;Euretos;4;Journal of medical microbiology;26567174
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26918627"")";;;fusion protein;3784494;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine'];7785;causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19523449"")";;;clonal anergy;313467;['Organ or Tissue Function', 'Cell Function'];2,0;Euretos, Pubmed;4;APMIS : acta pathologica, microbiologica, et immunologica Scandinavica;26918627;Euretos;4;Biochemical and biophysical research communications;19523449
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26918627"")";;;fusion protein;3784494;['Amino Acid, Peptide, or Protein', 'Neuroreactive Substance or Biogenic Amine'];7785;affects, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7896844"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12509992"")";;digestion;778585;['Organism Function'];2,0;Euretos, Pubmed;4;APMIS : acta pathologica, microbiologica, et immunologica Scandinavica;26918627;Euretos, Euretos;4, 4;The Journal of biological chemistry, Protein expression and purification;7896844, 12509992
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/14756784"")";;;putrescine;530178;['Chemical Viewed Structurally', 'Organic Chemical', 'Neuroreactive Substance or Biogenic Amine'];3163;augments, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/3706530"")";;;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Molecular microbiology;14756784;Euretos, Euretos;4;The American journal of physiology;3706530
