Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is not location of, is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15856902"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2174868"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/346564"")";dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Euretos, Euretos, Pubmed, Pubmed, Pubmed;4, 4, 4;The Journal of parasitology, Journal of bacteriology, Journal of bacteriology;15856902, 2174868, 346564;Euretos;4;JAMA oncology;26226055
clostridium septicum;594669;['Bacterium', 'Species'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21182874"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2034213"")";;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Journal of microbiological methods, Molecular & general genetics : MGG;21182874, 2034213;Euretos;4;JAMA oncology;26226055
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21570698"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Marine pollution bulletin;21570698;Euretos;4;JAMA oncology;26226055
bacteroides ovatus;4678856;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2096397"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Plasmid;2096397;Euretos;4;JAMA oncology;26226055
bacteroides uniformis;4678570;['Bacterium'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2096397"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2646276"")";;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Plasmid, Journal of bacteriology;2096397, 2646276;Euretos;4;JAMA oncology;26226055
[eubacterium] biforme;4676403;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19367605"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;American journal of primatology;19367605;Euretos;4;JAMA oncology;26226055
oxalobacter formigenes;457025;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17497294"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban;17497294;Euretos;4;JAMA oncology;26226055
bifidobacterium breve;3783285;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22615241"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Infection and immunity;22615241;Euretos;4;JAMA oncology;26226055
bifidobacterium bifidum;3783210;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20722058"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Pubmed;4;Inflammatory bowel diseases;20722058;Euretos;4;JAMA oncology;26226055
clostridium tetani;330973;['Bacterium', 'Species'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8843574"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/3510187"")";;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26226055"")";;;flatulence;1066868;['Sign or Symptom'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Toxicon : official journal of the International Society on Toxinology, Journal of bacteriology;8843574, 3510187;Euretos;4;JAMA oncology;26226055
proteus mirabilis;943113;['Bacterium', 'Species'];is not location of, is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/15856902"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2174868"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/346564"")";dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Euretos, Pubmed, Pubmed, Pubmed;4, 4, 4;The Journal of parasitology, Journal of bacteriology, Journal of bacteriology;15856902, 2174868, 346564;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/4561616"")";;;nucleic acids;340992;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];6240;is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/936546"")";;;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;The Biochemical journal;4561616;Euretos;4;Voprosy onkologii;936546
proteus mirabilis;943113;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/5983457"")";;;rna;333416;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide'];19268;is part of, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/719997"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/179752"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Hoppe-Seyler's Zeitschrift fur physiologische Chemie;5983457;Euretos, Euretos;4, 4;Clinical science and molecular medicine, Clinical science and molecular medicine;719997, 179752
clostridium septicum;594669;['Bacterium', 'Species'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21182874"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2034213"")";;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Journal of microbiological methods, Molecular & general genetics : MGG;21182874, 2034213;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
bifidobacterium adolescentis;4679305;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21570698"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Marine pollution bulletin;21570698;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
bacteroides ovatus;4678856;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2096397"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Plasmid;2096397;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
bacteroides uniformis;4678570;['Bacterium'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2096397"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/2646276"")";;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Plasmid, Journal of bacteriology;2096397, 2646276;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
[eubacterium] biforme;4676403;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19367605"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;American journal of primatology;19367605;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
collinsella aerofaciens;4676302;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22581067"")";;;nicotinamide adenine dinucleotide (nad);2239648;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Pharmacologic Substance', 'Biologically Active Substance'];27706;augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12975482"")";;;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Applied microbiology and biotechnology;22581067;Euretos;4;The Journal of pharmacology and experimental therapeutics;12975482
oxalobacter formigenes;457025;['Bacterium', 'Species'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17497294"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban;17497294;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
bifidobacterium breve;3783285;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22615241"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Infection and immunity;22615241;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
bifidobacterium bifidum;3783210;['Bacterium'];is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20722058"")";;;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Inflammatory bowel diseases;20722058;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
clostridium tetani;330973;['Bacterium', 'Species'];is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8843574"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/3510187"")";;dna;678406;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];29788;is part of, produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6639933"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7448403"")";;enterocytes;614380;['Cell'];2,0;Euretos, Euretos, Pubmed, Pubmed;4, 4;Toxicon : official journal of the International Society on Toxinology, Journal of bacteriology;8843574, 3510187;Euretos, Euretos;4, 4;The British journal of nutrition, Biulleten' eksperimental'noi biologii i meditsiny;6639933, 7448403
bilophila wadsworthia;111605;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7529241"")";;;rna;333416;['Chemical Viewed Structurally', 'Nucleic Acid, Nucleoside, or Nucleotide'];19268;is part of, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/719997"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/179752"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Journal of clinical microbiology;7529241;Euretos, Euretos;4, 4;Clinical science and molecular medicine, Clinical science and molecular medicine;719997, 179752
