Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];inhibits, interacts with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL3073520"")";"=HYPERLINK(""http://dx.doi.org/10.1007/s00044-013-0521-8"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1694713"")";ofloxacin;2336009;['Chemical Viewed Structurally', 'Organic Chemical', 'Antibiotic'];2862;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D015242"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9564988"")";;flatulence;1066868;['Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Chembl, Pubmed;curated database, 22, curated database, 4;chemblactivities, Med Chem Res, chemblactivities, Antimicrobial agents and chemotherapy;Not available, Not available, Not available, 19581455;CTD;curated database, 4;Comparative Toxicogenomics Database, Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology;Not available, 9564988
clostridium septicum;594669;['Bacterium', 'Species'];inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1674735"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18625771"")";;ofloxacin;2336009;['Chemical Viewed Structurally', 'Organic Chemical', 'Antibiotic'];2862;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D015242"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9564988"")";;flatulence;1066868;['Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Antimicrobial agents and chemotherapy;Not available, 18625771;CTD;curated database, 4;Comparative Toxicogenomics Database, Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology;Not available, 9564988
bacteroides caccae;4678901;['Bacterium'];inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1673771"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18625771"")";;ofloxacin;2336009;['Chemical Viewed Structurally', 'Organic Chemical', 'Antibiotic'];2862;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D015242"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9564988"")";;flatulence;1066868;['Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Antimicrobial agents and chemotherapy;Not available, 18625771;CTD;curated database, 4;Comparative Toxicogenomics Database, Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology;Not available, 9564988
bacteroides ovatus;4678856;['Bacterium'];inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL916587"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17261623"")";;ofloxacin;2336009;['Chemical Viewed Structurally', 'Organic Chemical', 'Antibiotic'];2862;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D015242"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9564988"")";;flatulence;1066868;['Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Antimicrobial agents and chemotherapy;Not available, 17261623;CTD;curated database, 4;Comparative Toxicogenomics Database, Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology;Not available, 9564988
prevotella oralis;4678677;['Bacterium'];inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL917499"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17261623"")";;ofloxacin;2336009;['Chemical Viewed Structurally', 'Organic Chemical', 'Antibiotic'];2862;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D015242"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9564988"")";;flatulence;1066868;['Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Antimicrobial agents and chemotherapy;Not available, 17261623;CTD;curated database, 4;Comparative Toxicogenomics Database, Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology;Not available, 9564988
bacteroides vulgatus;4678591;['Bacterium'];inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL831421"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16078842"")";;ofloxacin;2336009;['Chemical Viewed Structurally', 'Organic Chemical', 'Antibiotic'];2862;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D015242"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9564988"")";;flatulence;1066868;['Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of medicinal chemistry;Not available, 16078842;CTD;curated database, 4;Comparative Toxicogenomics Database, Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology;Not available, 9564988
bacteroides uniformis;4678570;['Bacterium'];inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1673762"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18625771"")";;ofloxacin;2336009;['Chemical Viewed Structurally', 'Organic Chemical', 'Antibiotic'];2862;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D015242"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9564988"")";;flatulence;1066868;['Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Antimicrobial agents and chemotherapy;Not available, 18625771;CTD;curated database, 4;Comparative Toxicogenomics Database, Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology;Not available, 9564988
clostridium septicum;594669;['Bacterium', 'Species'];interacts with, inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1675516"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1285150"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18625771"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7160549"")";;;flatulence;1066868;['Sign or Symptom'];13,0;Chembl, Chembl, Chembl, Chembl, Pubmed, Pubmed;curated database, curated database, 4, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy, Antimicrobial agents and chemotherapy;Not available, Not available, 18625771, 18955522;Euretos;4;Digestion;7160549
clostridium septicum;594669;['Bacterium', 'Species'];inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1284890"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18955526"")";;rifaximin;1232626;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];603;treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16454838"")";;;flatulence;1066868;['Sign or Symptom'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Antimicrobial agents and chemotherapy;Not available, 18955526;Euretos;4;The American journal of gastroenterology;16454838
bacteroides caccae;4678901;['Bacterium'];interacts with, inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1673772"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1673771"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18625771"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7160549"")";;;flatulence;1066868;['Sign or Symptom'];13,0;Chembl, Chembl, Chembl, Chembl, Pubmed;curated database, curated database, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy;Not available, Not available, 18625771;Euretos;4;Digestion;7160549
