Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22359159"")";;;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;Euretos;4;AAPS PharmSciTech;22359159
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;disrupts, is location of, does not disrupt, affects, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16786137"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26557758"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12023388"")";t-lymphocyte;164375;['Cell'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4;Oncology reports, Contemporary oncology (Poznan, Poland), Journal of immunology (Baltimore, Md. : 1950), Clinical and experimental immunology, Journal of surgical oncology;16786137, 26557758, 12023388, 1988219, 9579368
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/782611"")";;;iron deficiency;4657137;['Disease or Syndrome'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;Euretos;4;Blood;782611
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26459839"")";;;anxiety;1367915;['Mental Process'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;Euretos;4;Behavior therapy;26459839
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;causes, prevents, predisposes, treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23975213"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21750397"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21037195"")";osteoporosis;267197;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4;Calcified tissue international, Journal of endocrinological investigation, Journal of the American Dental Association (1939), The American journal of medicine;23975213, 21750397, 21037195, 15063813
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;disrupts, indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D003520"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9860433"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/10084258"")";diarrhea;2185768;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;CTD, Euretos;curated database, 4, 4;Comparative Toxicogenomics Database, The American journal of gastroenterology, Bone marrow transplantation;Not available, 9860433, 10084258
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;disrupts, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21312191"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/685513"")";;plasma cells;258475;['Cell'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;Euretos, Euretos;4, 4;European journal of immunology, Zeitschrift fur Rheumatologie;21312191, 685513
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;disrupts, causes;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8662176"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7973178"")";;bacterial translocation;401524;['Cell Function'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;Euretos, Euretos;4, 4;Current microbiology, Revista latinoamericana de microbiologia;8662176, 7973178
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D003520"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17009033"")";;hematochezia;304004;['Finding', 'Disease or Syndrome'];11,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;CTD;curated database, 4;Comparative Toxicogenomics Database, Cancer chemotherapy and pharmacology;Not available, 17009033
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/17724160"")";;;cyclophosphamide;72778;['Chemical Viewed Structurally', 'Organophosphorus Compound', 'Pharmacologic Substance'];9438;causes, indicates, affects;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D003520"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23523557"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21106858"")";hyperalgesia;921994;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Antimicrobial agents and chemotherapy;17724160;CTD, Euretos, Euretos;curated database, 4, 4, 4;Comparative Toxicogenomics Database, Chemico-biological interactions, American journal of physiology. Renal physiology, The Journal of urology;Not available, 23523557, 21106858, 12913760
