Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;treats;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D011794"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19957886"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;CTD;curated database, 4;Comparative Toxicogenomics Database, Indian journal of experimental biology;Not available, 19957886
clostridium septicum;594669;['Bacterium', 'Species'];interacts with, inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1675516"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1285150"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18625771"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Pubmed, Pubmed;curated database, curated database, 4, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy, Antimicrobial agents and chemotherapy;Not available, Not available, 18625771, 18955522;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
bacteroides caccae;4678901;['Bacterium'];interacts with, inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1673772"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1673771"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18625771"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Pubmed;curated database, curated database, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy;Not available, Not available, 18625771;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
bacteroides ovatus;4678856;['Bacterium'];inhibits, interacts with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1029471"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1281766"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18474575"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Pubmed, Pubmed;curated database, curated database, 4, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy, Antimicrobial agents and chemotherapy;Not available, Not available, 18474575, 17938185;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
parabacteroides merdae;4678781;['Bacterium'];inhibits, interacts with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1061765"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1281774"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18474575"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Pubmed, Pubmed;curated database, curated database, 4, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy, Antimicrobial agents and chemotherapy;Not available, Not available, 18474575, 18070958;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
bacteroides stercoris;4678707;['Bacterium'];interacts with, inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1282839"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1281762"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18474575"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Pubmed, Pubmed;curated database, curated database, 4, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy, Antimicrobial agents and chemotherapy;Not available, Not available, 18474575, 18955522;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
prevotella oralis;4678677;['Bacterium'];inhibits, interacts with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1660864"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1675714"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20585132"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Pubmed, Pubmed;curated database, curated database, 4, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy, Antimicrobial agents and chemotherapy;Not available, Not available, 20585132, 19223615;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
bacteroides vulgatus;4678591;['Bacterium'];interacts with, inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1282837"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1281769"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18474575"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Pubmed, Pubmed;curated database, curated database, 4, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy, Antimicrobial agents and chemotherapy;Not available, Not available, 18474575, 18955522;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
bacteroides uniformis;4678570;['Bacterium'];interacts with, inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1673762"")";"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1673763"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18625771"")";metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Chembl, Chembl, Pubmed;curated database, curated database, 4;chemblactivities, chemblactivities, Antimicrobial agents and chemotherapy;Not available, Not available, 18625771;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
collinsella aerofaciens;4676302;['Bacterium'];inhibits;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL1265034"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20100877"")";;metronidazole;514309;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance'];3997;indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D008795"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/198056"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Antimicrobial agents and chemotherapy;Not available, 20100877;CTD;curated database, 4;Comparative Toxicogenomics Database, British medical journal;Not available, 198056
