Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;affects, augments, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1131386"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6959244"")";;enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos, Euretos, Euretos;4, 4;Biology of the neonate, Scandinavian journal of gastroenterology. Supplement;1131386, 6959244
[ruminococcus] gnavus;4676883;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26192599"")";;;bile acids;788639;['Steroid', 'Biologically Active Substance'];5099;does not affect, is administered to, is location of, disrupts, augments, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20616306"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25477376"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19498215"")";enterocytes;614380;['Cell'];2,0;Euretos, Pubmed;4;Nature chemical biology;26192599;Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4;American journal of physiology. Gastrointestinal and liver physiology, American journal of physiology. Gastrointestinal and liver physiology, Journal of lipid research, Journal of molecular biology, Zeitschrift fur Gastroenterologie;20616306, 25477376, 19498215, 18952094, 969785
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16899582"")";;;parasitic diseases;369013;['Disease or Syndrome'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos;4;The Journal of endocrinology;16899582
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;is part of, does not disrupt, produces, augments, affects, disrupts, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16792589"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16224268"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22898186"")";t-lymphocyte;164375;['Cell'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4, 4, 4;Allergy, Journal of immunotherapy (Hagerstown, Md. : 1997), Molecular immunology, Steroids, Journal of biological regulators and homeostatic agents, Journal of neuroimmunology, European journal of immunology;16792589, 16224268, 22898186, 26102271, 23830393, 9521601, 3263921
[ruminococcus] gnavus;4676883;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26192599"")";;;bile acids;788639;['Steroid', 'Biologically Active Substance'];5099;is part of, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19723064"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/11295044"")";;t-lymphocyte;164375;['Cell'];2,0;Euretos, Pubmed;4;Nature chemical biology;26192599;Euretos, Euretos;4, 4;Annals of the New York Academy of Sciences, International journal of oncology;19723064, 11295044
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23631927"")";;;iron deficiency;4657137;['Disease or Syndrome'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos;4;Hormones and behavior;23631927
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;augments, disrupts;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19818725"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20381473"")";;anxiety;1367915;['Mental Process'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos, Euretos;4, 4;Brain, behavior, and immunity, Brain research;19818725, 20381473
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;augments, prevents, disrupts, causes, predisposes, is associated with, is not associated with, affects, treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22225919"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21622987"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26069740"")";osteoporosis;267197;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4, 4, 4, 4, 4;BMC women's health, Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association, Clinical kidney journal, Bone, La Revue de medecine interne, Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research, Calcified tissue international, The Journal of endocrinology, Terapevticheskii arkhiv;22225919, 21622987, 26069740, 23149277, 23238181, 12054173, 10666494, 9496239, 12718216
[ruminococcus] gnavus;4676883;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26192599"")";;;bile acids;788639;['Steroid', 'Biologically Active Substance'];5099;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/10400401"")";;;osteoporosis;267197;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;Nature chemical biology;26192599;Euretos;4;Drugs;10400401
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;disrupts, is associated with, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/5351982"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/7237001"")";;diarrhea;2185768;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos, Euretos, Euretos;4, 4;The Cornell veterinarian, British journal of pharmacology;5351982, 7237001
clostridium scindens;4679223;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19464381"")";;;cholic acid;528887;['Chemical Viewed Structurally', 'Steroid', 'Pharmacologic Substance', 'Biologically Active Substance'];1441;treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/830889"")";;;diarrhea;2185768;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Anaerobe;19464381;Euretos;4;The Journal of pediatrics;830889
[ruminococcus] gnavus;4676883;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26192599"")";;;bile acids;788639;['Steroid', 'Biologically Active Substance'];5099;is associated with, causes, predisposes, is not associated with, affects, indicates;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D001647"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22268002"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/5087095"")";diarrhea;2185768;['Finding', 'Sign or Symptom'];2,0;Euretos, Pubmed;4;Nature chemical biology;26192599;CTD, Euretos, Euretos, Euretos, Euretos, Euretos;curated database, 4, 4, 4, 4, 4, 4;Comparative Toxicogenomics Database, Toxicological sciences : an official journal of the Society of Toxicology, Gut, Zeitschrift fur Gastroenterologie, DTW. Deutsche tierarztliche Wochenschrift, Archives of disease in childhood, The Journal of infectious diseases;Not available, 22268002, 5087095, 6624170, 10028759, 1147660, 321706
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;affects, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/16474946"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6821111"")";;gut;3876348;['Body Part, Organ, or Organ Component'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos, Euretos;4, 4;European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society, Journal of pediatric gastroenterology and nutrition;16474946, 6821111
clostridium scindens;4679223;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19464381"")";;;cholic acid;528887;['Chemical Viewed Structurally', 'Steroid', 'Pharmacologic Substance', 'Biologically Active Substance'];1441;is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23749587"")";;;gut;3876348;['Body Part, Organ, or Organ Component'];2,0;Euretos, Pubmed;4;Anaerobe;19464381;Euretos;4;European journal of drug metabolism and pharmacokinetics;23749587
[ruminococcus] gnavus;4676883;['Bacterium'];produces;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26192599"")";;;bile acids;788639;['Steroid', 'Biologically Active Substance'];5099;disrupts, augments, is part of, affects, is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26529078"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/26045267"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/9254737"")";gut;3876348;['Body Part, Organ, or Organ Component'];2,0;Euretos, Pubmed;4;Nature chemical biology;26192599;Euretos, Euretos, Euretos, Euretos, Euretos;4, 4, 4, 4, 4;Journal of hepatology, Digestive diseases (Basel, Switzerland), Radiation research, British medical journal, Klinische Wochenschrift;26529078, 26045267, 9254737, 4342502, 7253534
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;treats;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/10199998"")";;;respiratory tract infections;1227694;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos;4;The Journal of allergy and clinical immunology;10199998
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;is part of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22727274"")";;;plasma cells;258475;['Cell'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos;4;Journal of autoimmunity;22727274
proteus mirabilis;943113;['Bacterium', 'Species'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21083"")";;;glucocorticoids;2299421;['Chemical Viewed Structurally', 'Steroid', 'Hormone'];9790;augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/1741652"")";;;bacterial translocation;401524;['Cell Function'];2,0;Euretos, Pubmed;4;European journal of biochemistry;21083;Euretos;4;Annals of surgery;1741652
