Starting concept;Starting concept ID;Starting concept ST;Relationships1;LinkAB 1;LinkAB 2;LinkAB 3;Middle concept;Middle concept ID;Middle concept ST;Middle concept connections;Relationships2;LinkBC 1;LinkBC 2;LinkBC 3;End concept;End concept ID;End concept ST;Path score;Source DB AB;Source score AB;SourceNames AB;All AB Source IDs;Source DB BC;Source score BC;SourceNames BC;All BC Source IDs
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;treats;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D011794"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19957886"")";;hyperalgesia;921994;['Finding', 'Sign or Symptom'];22,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;CTD;curated database, 4;Comparative Toxicogenomics Database, Indian journal of experimental biology;Not available, 19957886
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;prevents, causes, disrupts, does not prevent, is associated with, does not treat, treats, affects, predisposes;"=HYPERLINK(""http://ctdbase.org/detail.go?type=chem&acc=D011794"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/22595451"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18347680"")";inflammation;2569713;['Pathologic Function'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;CTD, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos, Euretos;curated database, 4, 4, 4, 4, 4, 4, 4, 4;Comparative Toxicogenomics Database, Nutrition (Burbank, Los Angeles County, Calif.), Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme, The Journal of nutritional biochemistry, Archives of biochemistry and biophysics, Molecular nutrition & food research, Obesity (Silver Spring, Md.), The Journal of nutritional biochemistry, Journal of exercise nutrition & biochemistry;Not available, 22595451, 18347680, 26277481, 26297952, 23504962, 18551111, 26507542, 25566439
bifidobacterium dentium;3679438;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23659237"")";;;vitamin k;1261558;['Chemical Viewed Structurally', 'Lipid', 'Pharmacologic Substance', 'Vitamin'];2271;is not associated with, disrupts, is associated with, augments;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/19400704"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20149620"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/18006902"")";inflammation;2569713;['Pathologic Function'];2,0;Euretos, Pubmed;4;European journal of oral sciences;23659237;Euretos, Euretos, Euretos, Euretos;4, 4, 4;Annual review of nutrition, The Journal of nutritional biochemistry, American journal of epidemiology;19400704, 20149620, 18006902
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;prevents;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/24170973"")";;;ulcerative colitis;646263;['Finding', 'Disease or Syndrome'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;Euretos;4;Interdisciplinary toxicology;24170973
bifidobacterium dentium;3679438;['Bacterium'];is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/23659237"")";;;vitamin k;1261558;['Chemical Viewed Structurally', 'Lipid', 'Pharmacologic Substance', 'Vitamin'];2271;is associated with;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/3637613"")";;;ulcerative colitis;646263;['Finding', 'Disease or Syndrome'];2,0;Euretos, Pubmed;4;European journal of oral sciences;23659237;Euretos;4;Medical hypotheses;3637613
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/20478383"")";;;upper respiratory infections;1267790;['Disease or Syndrome'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;Euretos;4;Pharmacological research;20478383
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;is location of;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/25875015"")";;;enterocytes;614380;['Cell'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;Euretos;4;PloS one;25875015
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;disrupts;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/21275387"")";;;neutrophil infiltration;647621;['Physiologic Function'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;Euretos;4;Journal of natural products;21275387
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;affects, disrupts;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8324474"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/6244093"")";;metabolic pathway;1317330;['Functional Concept'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;Euretos, Euretos;4, 4;Eksperimental'naia i klinicheskaia farmakologiia, Cancer research;8324474, 6244093
proteus mirabilis;943113;['Bacterium', 'Species'];does not interact with;"=HYPERLINK(""https://www.ebi.ac.uk/chembl/assay/inspect/CHEMBL983108"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/12762812"")";;quercetin;657382;['Chemical Viewed Structurally', 'Organic Chemical', 'Pharmacologic Substance', 'Vitamin'];12638;causes, affects;"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/27114691"")";"=HYPERLINK(""http://www.ncbi.nlm.nih.gov/pubmed/8847003"")";;negative regulation of inflammatory response;181882;['Organism Function'];13,0;Chembl, Chembl, Pubmed;curated database, 4;chemblactivities, Journal of natural products;Not available, 12762812;Euretos, Euretos;4, 4;Pharmacognosy research, Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association;27114691, 8847003
