DrugBankID;Drug;Disease;Palliative;InFDAlabel;RelativeEfficacyRE;GeneID1;GeneID2;GeneID3;GeneID4;GeneID5;GeneID6;GeneID7;GeneID8;GeneID9;GeneID10;GeneID11;GeneID12;GeneID13;GeneID14;GeneID15;GeneID16;GeneID17;GeneID18;GeneID19;GeneID20;GeneID21;GeneID22;GeneID23;GeneID24;GeneID25;IndicationfromDailyMed
DB00006;Bivalirudin;myocardial ischemia;0;0;NA;2147; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Angiomax is a direct thrombin inhibitor indicated for use as an anticoagulant in patients: With unstable angina undergoing percutaneous transluminal coronary angioplasty (PTCA). (1.1) Undergoing percutaneous coronary intervention (PCI) with provisional use of glycoprotein IIb/IIIa inhibitor (GPI) as in the REPLACE-2 study. (1.2) With, or at risk of, heparin-induced thrombocytopenia (HIT) or heparin-induced thrombocytopenia and thrombosis syndrome (HITTS), undergoing PCI. (1.2) Angiomax is intended for use with aspirin. (1.3) Limitation of use Safety and effectiveness not established in patients with acute coronary syndromes who are not undergoing PTCA or PCI. (1.4)
DB00007;Leuprolide;prostatic neoplasms;1;1;0,831776;2798; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Leuprolide acetate injection is indicated in the palliative treatment of advanced prostatic cancer. Leuprolide acetate injection is indicated in the treatment of children with central precocious puberty. Children should be selected using the following criteria: Clinical diagnosis of CPP (idiopathic or neurogenic) with onset of secondary sexual characteristics earlier than 8 years in females and 9 years in males. Clinical diagnosis should be confirmed prior to initiation of therapy:  Confirmation of diagnosis by a pubertal response to a GnRH stimulation test. The sensitivity and methodology of this assay must be understood.  Bone age advanced 1 year beyond the chronological age. Confirmation of diagnosis by a pubertal response to a GnRH stimulation test. The sensitivity and methodology of this assay must be understood. Bone age advanced 1 year beyond the chronological age. Baseline evaluation should also include:  Height and weight measurements.  Sex steroid levels.  Adrenal steroid level to exclude congenital adrenal hyperplasia.  Beta human chorionic gonadotropin level to rule out a chorionic gonadotropin secreting tumor.  Pelvic/adrenal/testicular ultrasound to rule out a steroid secreting tumor.  Computerized tomography of the head to rule out intracranial tumor. Height and weight measurements. Sex steroid levels. Adrenal steroid level to exclude congenital adrenal hyperplasia. Beta human chorionic gonadotropin level to rule out a chorionic gonadotropin secreting tumor. Pelvic/adrenal/testicular ultrasound to rule out a steroid secreting tumor. Computerized tomography of the head to rule out intracranial tumor.
DB00014;Goserelin;breast neoplasms;0;0;0,95;3973;2798; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ZOLADEX is a Gonadotropin Releasing Hormone (GnRH) agonist indicated for: Use in combination with flutamide for the management of locally confined carcinoma of the prostate (1.1) Use as palliative treatment of advanced carcinoma of the prostate (1.2)
DB00046;Insulin Lispro;diabetes mellitus;0;1;0,752455;3480;3643; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Humalog Mix75/25, a mixture of 75% insulin lispro protamine suspension and 25% insulin lispro injection, (rDNA origin), is indicated in the treatment of patients with diabetes mellitus for the control of hyperglycemia. Humalog Mix75/25 has a more rapid onset of glucoselowering activity compared with Humulin 70/30 while having a similar duration of action. This profile is achieved by combining the rapid onset of Humalog with the intermediate action of insulin lispro protamine suspension.
DB00063;Eptifibatide;coronary disease;0;1;NA;3690; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;INTEGRILIN is a platelet aggregation inhibitor indicated for: Treatment of acute coronary syndrome (ACS) managed medically or with percutaneous coronary intervention (PCI) (1.1) Treatment of patients undergoing PCI (including intracoronary stenting) (1.2)
DB00086;Streptokinase;arterial occlusive diseases;0;0;NA;5340;2149; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00091;Cyclosporine;arthritis rheumatoid;0;1;0;819;5535;5478; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Neoral is indicated for the prophylaxis of organ rejection in kidney, liver, and heart allogeneic transplants. Neoral has been used in combination with azathioprine and corticosteroids. Neoral is indicated for the treatment of patients with severe active, rheumatoid arthritis where the disease has not adequately responded to methotrexate. Neoral can be used in combination with methotrexate in rheumatoid arthritis patients who do not respond adequately to methotrexate alone. Neoral is indicated for the treatment of adult, nonimmunocompromised patients with severe (i.e., extensive and/or disabling), recalcitrant, plaque psoriasis who have failed to respond to at least one systemic therapy (e.g., PUVA, retinoids, or methotrexate) or in patients for whom other systemic therapies are contraindicated, or cannot be tolerated. While rebound rarely occurs, most patients will experience relapse with Neoral as with other therapies upon cessation of treatment.
DB00104;Octreotide;intestinal neoplasms;0;1;NA;6752;6751;6755; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Acromegaly Octreotide Acetate Injection is indicated to reduce blood levels of growth hormone and IGF-I (somatomedin C) in acromegaly patients who have had inadequate response to or cannot be treated with surgical resection, pituitary irradiation, and bromocriptine mesylate at maximally tolerated doses. The goal is to achieve normalization of growth hormone and IGF-I (somatomedin C) levels (see DOSAGE AND ADMINISTRATION). In patients with acromegaly, Octreotide Acetate Injection reduces growth hormone to within normal ranges in 50% of patients and reduces IGF-I (somatomedin C) to within normal ranges in 50% to 60% of patients. Since the effects of pituitary irradiation may not become maximal for several years, adjunctive therapy with Octreotide Acetate Injection to reduce blood levels of growth hormone and IGF-I (somatomedin C) offers potential benefit before the effects of irradiation are manifested. Improvement in clinical signs and symptoms or reduction in tumor size or rate of growth were not shown in clinical trials performed with Octreotide Acetate Injection"
DB00121;Biotin;metabolism inborn errors;0;0;NA;5091;31;56922;5095;5096;3141;32;64087; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00126;Vitamin C;anemia;0;0;NA;79676;8424;5066;5352;5351;121642;1621;5033;55217;8985;5264;112399;54681;221120;9963;112398;54583;64175;3938; ; ; ; ; ; ;Temporary relief of symptoms related to Vitamin C in foods and supplements including fatigue, upper respiratory, gastrointestinal, musculoskeletal and urinary symptoms.
