Starting concept;Predicate1;Sources1;Connecting concept;Semantic category;Semantic types;Found in gut?;Found in intestines?;Predicate2;Sources2;End concept;Path weight
bacteroides ovatus;produces;['http://www.ncbi.nlm.nih.gov/pubmed/19736360'];growth factor;Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];gut;intestines;affects;['http://www.ncbi.nlm.nih.gov/pubmed/7761070'];inflammatory bowel diseases;9.0
bacteroides ovatus;produces;['http://www.ncbi.nlm.nih.gov/pubmed/19736360'];growth factor;Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/7761070', 'http://www.ncbi.nlm.nih.gov/pubmed/10691999', 'http://www.ncbi.nlm.nih.gov/pubmed/15667502', 'http://www.ncbi.nlm.nih.gov/pubmed/9744082', 'http://www.ncbi.nlm.nih.gov/pubmed/20848489', 'http://www.ncbi.nlm.nih.gov/pubmed/10028449', 'http://www.ncbi.nlm.nih.gov/pubmed/19636186', 'http://www.ncbi.nlm.nih.gov/pubmed/15626905', 'http://www.ncbi.nlm.nih.gov/pubmed/7895532'];inflammatory bowel diseases;9.0
bacteroides ovatus;produces;['http://www.ncbi.nlm.nih.gov/pubmed/19736360'];growth factor;Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];gut;intestines;treats;['http://www.ncbi.nlm.nih.gov/pubmed/7761070', 'http://www.ncbi.nlm.nih.gov/pubmed/10691999', 'http://www.ncbi.nlm.nih.gov/pubmed/15667502', 'http://www.ncbi.nlm.nih.gov/pubmed/9744082', 'http://www.ncbi.nlm.nih.gov/pubmed/20848489', 'http://www.ncbi.nlm.nih.gov/pubmed/10028449', 'http://www.ncbi.nlm.nih.gov/pubmed/19636186', 'http://www.ncbi.nlm.nih.gov/pubmed/15626905', 'http://www.ncbi.nlm.nih.gov/pubmed/7895532', 'http://www.ncbi.nlm.nih.gov/pubmed/14562200'];inflammatory bowel diseases;9.0
bacteroides ovatus;produces;['http://www.ncbi.nlm.nih.gov/pubmed/19736360'];growth factor;Chemicals & Drugs;['Amino Acid, Peptide, or Protein', 'Biologically Active Substance'];gut;intestines;produces;['http://www.ncbi.nlm.nih.gov/pubmed/7761070', 'http://www.ncbi.nlm.nih.gov/pubmed/10691999', 'http://www.ncbi.nlm.nih.gov/pubmed/15667502', 'http://www.ncbi.nlm.nih.gov/pubmed/9744082', 'http://www.ncbi.nlm.nih.gov/pubmed/20848489', 'http://www.ncbi.nlm.nih.gov/pubmed/10028449', 'http://www.ncbi.nlm.nih.gov/pubmed/19636186', 'http://www.ncbi.nlm.nih.gov/pubmed/15626905', 'http://www.ncbi.nlm.nih.gov/pubmed/7895532', 'http://www.ncbi.nlm.nih.gov/pubmed/14562200', 'http://www.ncbi.nlm.nih.gov/pubmed/18395894'];inflammatory bowel diseases;9.0
[eubacterium] biforme;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/19367605'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854'];inflammatory bowel diseases;8.0
[eubacterium] biforme;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/19367605'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;affects;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854', 'http://www.ncbi.nlm.nih.gov/pubmed/11106094'];inflammatory bowel diseases;8.0
[eubacterium] biforme;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/19367605'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;predisposes;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854', 'http://www.ncbi.nlm.nih.gov/pubmed/11106094', 'http://www.ncbi.nlm.nih.gov/pubmed/25552511'];inflammatory bowel diseases;8.0
bacteroides ovatus;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/2096397'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;is associated with;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854'];inflammatory bowel diseases;8.0
bacteroides ovatus;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/2096397'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;affects;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854', 'http://www.ncbi.nlm.nih.gov/pubmed/11106094'];inflammatory bowel diseases;8.0
bacteroides ovatus;is location of;['http://www.ncbi.nlm.nih.gov/pubmed/2096397'];dna;Chemicals & Drugs;['Nucleic Acid, Nucleoside, or Nucleotide', 'Biologically Active Substance'];gut;intestines;predisposes;['http://www.ncbi.nlm.nih.gov/pubmed/19915667', 'http://www.ncbi.nlm.nih.gov/pubmed/21756796', 'http://www.ncbi.nlm.nih.gov/pubmed/22398043', 'http://www.ncbi.nlm.nih.gov/pubmed/16825908', 'http://www.ncbi.nlm.nih.gov/pubmed/12795467', 'http://www.ncbi.nlm.nih.gov/pubmed/15579093', 'http://www.ncbi.nlm.nih.gov/pubmed/10445854', 'http://www.ncbi.nlm.nih.gov/pubmed/11106094', 'http://www.ncbi.nlm.nih.gov/pubmed/25552511'];inflammatory bowel diseases;8.0
