"","color","growth","height","length","number","size","stand","type","vigor","weight","yield"
"WO2016064597A1",0,0,0,0,0,0,0,0,0,0,0
"EP2496071B1",0,1,0,0,6,0,0,0,1,0,3
"US20160100543A1",0,0,0,0,0,0,0,0,0,0,0
"US20160102370A1",0,0,0,0,0,0,0,0,0,0,0
"EP2627667B1",0,0,0,0,0,0,0,0,0,0,0
"WO2016044050A1",0,0,0,0,0,0,0,0,0,0,1
"US20160050865A1",0,0,0,0,0,0,0,0,0,0,0
"US9258998B2",0,0,0,0,0,0,0,0,0,0,0
"WO2016022517A1",0,0,0,0,0,0,0,0,0,0,0
"WO2016011258A1",0,0,0,0,2,0,0,0,0,0,0
"US20160014987A1",0,0,0,0,0,0,0,0,0,0,0
"US20100071092A1",0,0,0,0,0,0,0,0,0,0,0
"US9238818B2",0,0,0,0,0,0,0,0,0,0,0
"WO2016003577A1",0,0,0,0,0,0,0,0,0,0,0
"US20130266945A1",0,0,0,0,0,0,0,0,0,0,0
"US9228241B2",0,0,0,0,0,0,0,0,0,0,0
"US20110283427A1",0,0,0,0,0,0,0,0,0,0,0
"US9222141B2",0,0,0,0,0,0,0,0,0,0,0
"WO2015193733A2",0,0,0,0,0,0,0,0,0,0,3
"WO2015193733A3",0,0,0,0,0,0,0,0,0,0,3
"WO2015184574A1",1,0,0,0,0,0,0,0,0,0,0
"US20130007917A1",0,0,0,0,3,0,0,0,0,0,3
"US9206437B2",0,0,0,0,3,0,0,0,0,0,3
"US20150342190A1",0,0,0,0,0,0,0,0,2,0,9
"WO2015179825A1",0,3,0,0,0,0,0,0,0,0,0
"US20130198890A1",0,0,0,0,0,0,0,0,0,0,0
"US9137957B2",0,0,0,0,0,0,0,0,0,0,0
"EP2918681A1",0,0,0,0,0,0,0,4,0,0,0
"WO2015127248A1",0,0,0,0,1,0,0,0,0,0,0
"WO2015117966A1",0,0,0,0,0,0,0,0,0,0,14
"US20150189843A1",0,0,0,0,0,0,0,0,0,0,0
"US20150184254A1",0,0,0,0,0,0,0,0,0,0,1
"US20150184253A1",0,0,0,0,0,0,0,0,0,0,0
"WO2015095777A1",0,0,0,0,0,5,0,0,0,0,0
