"","accessionID","accessionName","accessionDescription","fromGenebank","fromGenebankID","fromGenebankID2","spp","speciesName","taxonomyID","subTaxaID","gpsLat","gpsLat_txt","gpsLong","gpsLong_txt","adm1","adm2","collectionSiteCountry","adm0","collectionSite","collectionSiteDetails","collectionSiteProvence","collectionDate","colNu_IPD","elevation","chromosomeNumber","germplasmStatus","MTA","ploidy","storageID","remarkID","dateCreated","lastUpdate"
"1","EA00001","ABE LINCOLN","INDET","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2","EA00002","ABEL",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"3","EA00003","ACME","INDET","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"4","EA00004","AIRYLEAF","INDET","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"5","EA00005","ALICE ROOSEVELT","INDET","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"6","EA00006","ALPHA PINK",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"7","EA00007","AMBER",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"8","EA00008","AMISH OLD RED","large red","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"9","EA00009","AMISH POTATO LEAF","INDET, Potato leaf","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"10","EA00010","ANNA HERMAN","SEMI-DET, small yellow","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"11","EA00011","ANNIE",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"12","EA00012","ASHLEIGH","INDET, Regular leaf, large, red","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"13","EA00013","AUNT GESTIE'S GOLD","INDET","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"14","EA00014","AZURE","DET, oval red plum","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"15","EA00015","BABYNKA",NA,"C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"16","EA00016","BARANSKI","small red plums","C. Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Zamir",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
