accessionID,lat_long,taxonomyID,fromGenebankID,germplasmStatus,collectionDate
EA00001,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00002,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00003,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00004,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00005,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00006,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00007,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00008,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00009,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00010,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00011,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00012,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00013,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00014,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00015,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00016,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00017,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00018,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00019,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00020,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00021,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00022,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00023,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00024,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00025,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00026,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00027,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00028,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00029,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00030,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00031,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00032,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00033,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00034,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00035,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00036,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00037,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00038,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00039,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00040,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00041,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00042,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00043,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00044,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00045,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00046,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00047,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00048,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00049,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00050,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00051,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00052,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00053,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00054,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00055,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00056,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00057,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00058,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00059,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00060,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00061,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00062,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00063,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00064,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00065,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00066,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00067,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00068,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00069,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00070,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00071,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00072,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00073,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00074,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00075,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00076,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00077,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00078,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00079,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00080,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00081,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00082,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00083,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00084,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00085,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00086,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00087,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00088,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00089,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00090,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00091,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00092,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00093,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00094,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00095,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00096,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00097,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00098,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00099,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00100,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00101,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00102,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00103,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00104,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00105,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00106,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00107,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00108,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00109,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
EA00110,"N520517,E543943",4081,CGN1431,cultivated,13/10/2015
