Preferred_label;ID;Semantic_Category;Synonyms
snx4 (saccharomyces cerevisiae s288c);6133507;Genes & Molecular Sequences;s000003573, yjl036w, atg24 (saccharomyces cerevisiae s288c), cvt13 (saccharomyces cerevisiae s288c), [entrezgene]853416
pro2 (saccharomyces cerevisiae s288c);6136069;Genes & Molecular Sequences;yor323c, s000005850, [entrezgene]854501
ylr224w (saccharomyces cerevisiae s288c);6128400;Genes & Molecular Sequences;s000004214, ylr224w, [entrezgene]850921
mse1 (saccharomyces cerevisiae s288c);6135871;Genes & Molecular Sequences;[entrezgene]854124, yol033w, s000005393
mpc1 (saccharomyces cerevisiae s288c);6134306;Genes & Molecular Sequences;ygl080w, fmp37 (saccharomyces cerevisiae s288c), s000003048, [entrezgene]852800
fum1 (saccharomyces cerevisiae s288c);6136038;Genes & Molecular Sequences;ypl262w, [entrezgene]855866, s000006183
vma22 (saccharomyces cerevisiae s288c);6137853;Genes & Molecular Sequences;vph6 (saccharomyces cerevisiae s288c), [entrezgene]856457, s000001102, yhr060w, cev1 (saccharomyces cerevisiae s288c)
msn2 (saccharomyces cerevisiae s288c);6135940;Genes & Molecular Sequences;s000004640, ymr037c, [entrezgene]855053
dog1 (saccharomyces cerevisiae s288c);6137842;Genes & Molecular Sequences;s000001086, yhr044c, [entrezgene]856440
ino1 (saccharomyces cerevisiae s288c);6134515;Genes & Molecular Sequences;yjl153c, [entrezgene]853288, apr1 (saccharomyces cerevisiae s288c), s000003689
rtg1 (saccharomyces cerevisiae s288c);6137530;Genes & Molecular Sequences;[entrezgene]854087, yol067c, s000005428
adp1 (saccharomyces cerevisiae s288c);6129048;Genes & Molecular Sequences;[entrezgene]850369, ycr011c, s000000604
ump1 (saccharomyces cerevisiae s288c);6133438;Genes & Molecular Sequences;[entrezgene]852471, ybr173c, s000000377, rns2 (saccharomyces cerevisiae s288c)
rpn4 (saccharomyces cerevisiae s288c);6133406;Genes & Molecular Sequences;s000002178, [entrezgene]851542, son1 (saccharomyces cerevisiae s288c), ydl020c, ufd5 (saccharomyces cerevisiae s288c)
hsp60 (saccharomyces cerevisiae s288c);6129499;Genes & Molecular Sequences;mif4 (saccharomyces cerevisiae s288c), ylr259c, cpn60 (saccharomyces cerevisiae s288c), s000004249, [entrezgene]850963, mna2 (saccharomyces cerevisiae s288c)
hal1 (saccharomyces cerevisiae s288c);6137531;Genes & Molecular Sequences;[entrezgene]856113, ypr005c, s000006209
glutathione;4050249;Chemicals & Drugs;disulfide, glutathione, c0017817, glutathione disulfide, glutathione, n,n'-(dithiobis((r)-1-((carboxymethyl)carbamoyl)ethylene))di-l-glutamine, gamma l glutamyl l cysteinylglycine, glutathione disulfide [chemical/ingredient], chebi:16856, oxidized glutathione (substance), cdr0000486929, gssg, oxiglutatione, oxidised glutathione, gamma l glu l cys gly, gamma-l-glu-l-cys-gly, glutathione disulfide (gssg), n-(n-gamma-glutamyl-cysteinyl)glycine-(2,2)-disulfide, 70-18-8, bis(gamma-glutamyl-l-cysteinylglycine) disulfide, l-oxidized glutathione, gsh, glutathione.oxidized
glutathione;4050249;Chemicals & Drugs;disulfide, glutathione, c0017817, glutathione disulfide, glutathione, n,n'-(dithiobis((r)-1-((carboxymethyl)carbamoyl)ethylene))di-l-glutamine, gamma l glutamyl l cysteinylglycine, glutathione disulfide [chemical/ingredient], chebi:16856, oxidized glutathione (substance), cdr0000486929, gssg, oxiglutatione, oxidised glutathione, gamma l glu l cys gly, gamma-l-glu-l-cys-gly, glutathione disulfide (gssg), n-(n-gamma-glutamyl-cysteinyl)glycine-(2,2)-disulfide, 70-18-8, bis(gamma-glutamyl-l-cysteinylglycine) disulfide, l-oxidized glutathione, gsh, glutathione.oxidized
canavanine;4860459;Chemicals & Drugs;2-amino-4-(guanidinooxy)butyric acid, ai3-52153, fsbigdsbmbyopn-uhfffaoysa-n, homoserine, o-[(aminoiminomethyl)amino]-, c1625_sigma, hsdb 3471, d002172, o-[(aminoiminomethyl)amino]homoserine, l-canavanine, o-((aminoiminomethyl)amino)homoserine, (l)-canavanine, [chemspider]269, 543-38-4, canavanin, 2-ammonio-4-(carbamimidamidooxy)butanoate, l-2-amino-4-(guanidinooxy)butyric acid
glutathione;4050249;Chemicals & Drugs;disulfide, glutathione, c0017817, glutathione disulfide, glutathione, n,n'-(dithiobis((r)-1-((carboxymethyl)carbamoyl)ethylene))di-l-glutamine, gamma l glutamyl l cysteinylglycine, glutathione disulfide [chemical/ingredient], chebi:16856, oxidized glutathione (substance), cdr0000486929, gssg, oxiglutatione, oxidised glutathione, gamma l glu l cys gly, gamma-l-glu-l-cys-gly, glutathione disulfide (gssg), n-(n-gamma-glutamyl-cysteinyl)glycine-(2,2)-disulfide, 70-18-8, bis(gamma-glutamyl-l-cysteinylglycine) disulfide, l-oxidized glutathione, gsh, glutathione.oxidized
leucylleucine;5358871;Chemicals & Drugs;lcpyqjikpjdllb-uwvggrqhsa-n, c038361, l2752_sigma, h-leu-leu-oh, [chemspider]69263, dl-leu-dl-leu, leu-leu (chembl54933), dl-leucine, n-dl-leucyl-, 220-741-5, dl-leucyl-dl-leucine, [chebi_par_id]73531, (s)-2-((s)-2-amino-4-methyl-pentanoylamino)-4-methyl-pentanoic acid, 221-976-6, l-leucine, l-leucyl-, l-leucyl-l-leucine, 2-(2-amino-4-methyl-pentanoylamino)-4-methyl-pentanoic acid, n-l-leucyl-l-leucine, (s)-2-((s)-2-amino-4-methyl-pentanoylamino)-4-methyl-pentanoic acid (chembl54933), [molregno]85493, leucylleucine, leu-leu, leucyl-leucine, 3303-31-9, zinc01532219, chembl54933, l-leucine, n-l-leucyl-
bleomycin;505446;Chemicals & Drugs;bleomycin, blm, bleomycin a(2), bleomycin [chemical/ingredient], n1-(3-(dimethylsulfonio)propyl)bleomycinamide, [chebi]3139, bleomycin (substance), bleomycin antibiotic, bleomycins, 11116-31-7, d001761, [chebi]22907, c0005736, bleomycin a2, bleo
histidylleucine;4912870;Chemicals & Drugs;histidine-leucine dipeptide, c020357, hmdb28889, 7763-65-7, c05010, c0062762, histidylleucine, histidinyl-leucine, leucine, n-histidyl-, hl dipeptide, 2-[[2-amino-3-(3h-imidazol-4-yl)propanoyl]amino]-4-methylpentanoic acid, histidinylleucine, [chemspider]389449, 2-(2-amino-3-imidazol-5-ylpropanoylamino)-4-methylpentanoic acid, leucine, histidyl-, histidine leucine dipeptide, h-l dipeptide, hmdb00171, mmfkfjorzbjvnf-uhfffaoysa-n, his-leu, n-l-histidyl-l-leucine, h2504_sigma
canavanine;4860459;Chemicals & Drugs;2-amino-4-(guanidinooxy)butyric acid, ai3-52153, fsbigdsbmbyopn-uhfffaoysa-n, homoserine, o-[(aminoiminomethyl)amino]-, c1625_sigma, hsdb 3471, d002172, o-[(aminoiminomethyl)amino]homoserine, l-canavanine, o-((aminoiminomethyl)amino)homoserine, (l)-canavanine, [chemspider]269, 543-38-4, canavanin, 2-ammonio-4-(carbamimidamidooxy)butanoate, l-2-amino-4-(guanidinooxy)butyric acid
