"gene","gene_symbol","character_major","character_minor","chromosome","start","end","locus_id","browse","isolation","objective","doi"
"Gibberellin 2-Oxidase 3","GA2ox3","Morphological trait","Dwarf","1","33550951","33553486","Os01g0757200","-","Others","Dwarfism. Gibberellin catabolism.","10.1105/tpc.108.060913"
"Gibberellin 2-Oxidases9","GA2ox9","Morphological trait","Dwarf","2","26086366","26090603","Os02g0630300","-","Others","Dwarfism. Gibberellin catabolism.","10.1105/tpc.108.060913"
"Gibberellin 2-Oxidase6","GA2ox6","Morphological trait","Dwarf","4","26529263","26532908","Os04g0522500","-","Others","Dwarfism. Gibberellin catabolism.","10.1105/tpc.108.060913"
"SHORT GRAIN 1","SG1","Morphological trait","Culm leaf","9","18004651","18006124","Os09g0459200","-","Others","Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.","10.1104/pp.111.187567"
"SHORT GRAIN 1","SG1","Morphological trait","Dwarf","9","18004651","18006124","Os09g0459200","-","Others","Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.","10.1104/pp.111.187567"
"SHORT GRAIN 1","SG1","Morphological trait","Panicle flower","9","18004651","18006124","Os09g0459200","-","Others","Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.","10.1104/pp.111.187567"
"SHORT GRAIN 1","SG1","Morphological trait","Seed","9","18004651","18006124","Os09g0459200","-","Others","Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.","10.1104/pp.111.187567"
"Acetolactate synthase","ALS","Resistance or Tolerance","Other stress resistance","2","19014886","19017232","Os02g0510200","-","Others","Bispyribac sodium resistance.","10.1007/s00299-010-0915-8"
"Elicitor 5","EL5","Morphological trait","Root","2","22107945","22118231","Os02g0559800","-","Others","Maintenance of cell viability of root primordia.","10.1111/j.1365-313X.2007.03120.x"
"Elicitor 5","EL5","Morphological trait","Root","2","22126250","22127194","Os02g0560200","-","Others","Maintenance of cell viability of root primordia.","10.1111/j.1365-313X.2007.03120.x"
"Elicitor 5","EL5","Morphological trait","Root","2","22135276","22136220","Os02g0560600","-","Others","Maintenance of cell viability of root primordia.","10.1111/j.1365-313X.2007.03120.x"
"Elicitor 5","EL5","Morphological trait","Root","2","22144302","22145246","Os02g0561000","-","Others","Maintenance of cell viability of root primordia.","10.1111/j.1365-313X.2007.03120.x"
"Elicitor 5","EL5","Morphological trait","Root","2","22153329","22154273","Os02g0561400","-","Others","Maintenance of cell viability of root primordia.","10.1111/j.1365-313X.2007.03120.x"
"Elicitor 5","EL5","Morphological trait","Root","2","0","0","Os02g0561800","-","Others","Maintenance of cell viability of root primordia.","10.1111/j.1365-313X.2007.03120.x"
"Anthranilate synthase a-subunit 2","OASA2","Physiological trait","Eating quality","3","8752968","8758130","Os03g0264400","-","Others","Tryptophan content in seed and shoot.","10.1104/pp.111.175778"
"Glutamate decarboxylase 2","OsGAD2","Others","Others","4","22728719","22731041","Os04g0447800","-","Others","Pleiotropic developmental defect. GABA level.","10.1093/jxb/erm120"
