qtl_accession_id,qtl_name,published_symbol,to_accession,trait_category,trait_name,trait_symbol,chromosome,start,end
AQGJ017,BNL6.32,,TO:0000543,Biochemical,leaf nitrogen content,LFNICN,Chr. 1,10121499,10122731
AQO030,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,37713253,37713775
AQO036,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 1,37713253,37713775
AQC001,BNL6.32,,TO:0000346,Vigor,tiller number,TINB,Chr. 1,37713253,37713775
DQC1,BNL6.32,,TO:0000346,Vigor,tiller number,TINB,Chr. 1,37713253,39688417
AQC002,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 1,10121499,10122731
AQC003,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 1,39687395,42413852
AQO074,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 1,37713253,37713775
AQO077,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 1,39687395,42413852
AQO084,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 1,37713253,37713775
AQO087,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 1,37713253,37713775
DQC2,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 1,10121499,10122731
DQC3,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 1,39687395,42413852
AQO040,BNL6.32,,TO:0000306,Anatomy,root thickness,RTTH,Chr. 1,31426853,33053654
AQO044,BNL6.32,,TO:0000306,Anatomy,root thickness,RTTH,Chr. 1,37713253,37713775
AQO056,BNL6.32,,TO:0000306,Anatomy,root thickness,RTTH,Chr. 1,31046003,31047458
AQO018,BNL6.32,,TO:0000278,Vigor,root to shoot ratio,RTSHRO,Chr. 1,29446995,31047458
AQO022,BNL6.32,,TO:0000278,Vigor,root to shoot ratio,RTSHRO,Chr. 1,33053493,37713775
AQO023,BNL6.32,,TO:0000278,Vigor,root to shoot ratio,RTSHRO,Chr. 1,37713253,39688417
AQD001,BNL6.32,,TO:0000085,Abiotic stress,leaf rolling,LFRL,Chr. 1,37713253,37713775
AQD006,BNL6.32,,TO:0000085,Abiotic stress,leaf rolling,LFRL,Chr. 1,39687395,39688417
AQD009,BNL6.32,,TO:0000085,Abiotic stress,leaf rolling,LFRL,Chr. 1,37713253,37713775
AQD014,BNL6.32,,TO:0000085,Abiotic stress,leaf rolling,LFRL,Chr. 1,37713253,37713775
AQD016,BNL6.32,,TO:0000446,Abiotic stress,leaf drying,LFDRY,Chr. 1,39687395,42413852
AQD024,BNL6.32,,TO:0000446,Abiotic stress,leaf drying,LFDRY,Chr. 1,15617197,24188875
AQD027,BNL6.32,,TO:0000446,Abiotic stress,leaf drying,LFDRY,Chr. 1,15617197,24188875
AQD030,BNL6.32,,TO:0000136,Abiotic stress,relative water content,RELWCN,Chr. 1,39687395,39688417
AQD039,BNL6.32,,TO:0000136,Abiotic stress,relative water content,RELWCN,Chr. 1,37713253,39688417
AQO001,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,33053493,37713775
AQO003,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,37713253,37713775
AQO005,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,33053493,33053654
AQO006,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 1,37713253,39688417
